Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9990052579224101,0.7947094732082297,0.88522319461059,0.9514,0.08897876643073811,0.9617486338797814,0.1628875520592318,0.9511,0.3181818181818182,0.875,0.4666666666666667,0.9988,0.7982,0.4687,0.8772,0.5049,0.9671
1,0.9799732977303071,0.9957042731177933,0.9877761579006392,0.8479,0.0,0.0,0.0,0.8217,0.14893617021276595,0.875,0.25454545454545446,0.9321,0.9754,0.3763,0.6236,0.4141,0.8673
2,0.9965416334131418,0.846936468460321,0.9156685406990956,0.9316,0.10424966799468792,0.8579234972677595,0.18590882178804027,0.9299,0.5384615384615384,0.875,0.6666666666666667,0.888,0.8472,0.5464,0.86,0.5894,0.9165
3,0.9938892425206874,0.8825457834049287,0.9349140770013772,0.8939,0.11558219178082192,0.7377049180327869,0.1998519615099926,0.8953,0.5,0.875,0.6363636363636364,0.9867,0.8796,0.5365,0.8318,0.5904,0.9253
4,0.9788646674781454,1.0,0.9893194654140804,0.557,0.0,0.0,0.0,0.5804,0.0,0.0,0.0,0.9192,0.9789,0.3263,0.3333,0.3298,0.6855
5,0.9788646674781454,1.0,0.9893194654140804,0.5736,0.0,0.0,0.0,0.5486,0.0,0.0,0.0,0.9506,0.9789,0.3263,0.3333,0.3298,0.6909
6,0.0,0.0,0.0,0.5492,0.0,0.0,0.0,0.6005,0.0008852495297111873,1.0,0.0017689331122166944,0.9816,0.0009,0.0003,0.3333,0.0006,0.7104
7,0.0,0.0,0.0,0.6036,0.02036727879799666,1.0,0.03992146596858639,0.6316,0.11538461538461539,0.75,0.19999999999999998,0.9658,0.0209,0.0453,0.5833,0.08,0.7337
8,0.0,0.0,0.0,0.4993,0.0,0.0,0.0,0.5375,0.0008852495297111873,1.0,0.0017689331122166944,0.9685,0.0009,0.0003,0.3333,0.0006,0.6685
9,0.9788646674781454,1.0,0.9893194654140804,0.7713,0.0,0.0,0.0,0.4922,0.0,0.0,0.0,0.9926,0.9789,0.3263,0.3333,0.3298,0.752
10,0.0,0.0,0.0,0.3926,0.02025008299214341,1.0,0.03969631236442516,0.4778,0.0,0.0,0.0,0.8189,0.0203,0.0068,0.3333,0.0132,0.5631
11,0.0,0.0,0.0,0.3976,0.02025008299214341,1.0,0.03969631236442516,0.4317,0.0,0.0,0.0,0.8768,0.0203,0.0068,0.3333,0.0132,0.5687
12,0.0,0.0,0.0,0.4626,0.0,0.0,0.0,0.5484,0.0008852495297111873,1.0,0.0017689331122166944,0.962,0.0009,0.0003,0.3333,0.0006,0.6577
13,0.0,0.0,0.0,0.4396,0.0,0.0,0.0,0.5818,0.0008852495297111873,1.0,0.0017689331122166944,0.9932,0.0009,0.0003,0.3333,0.0006,0.6716
14,0.0,0.0,0.0,0.3501,0.021819925668385087,0.994535519125683,0.04270295635851713,0.7237,0.0,0.0,0.0,0.4963,0.0201,0.0073,0.3315,0.0142,0.5234
15,0.0,0.0,0.0,0.2669,0.0,0.0,0.0,0.7645,0.0008852495297111873,1.0,0.0017689331122166944,0.2504,0.0009,0.0003,0.3333,0.0006,0.4273
16,0.0,0.0,0.0,0.6073,0.02025008299214341,1.0,0.03969631236442516,0.321,0.0,0.0,0.0,0.5048,0.0203,0.0068,0.3333,0.0132,0.4777
17,0.0,0.0,0.0,0.5746,0.0,0.0,0.0,0.4378,0.0008852495297111873,1.0,0.0017689331122166944,0.5905,0.0009,0.0003,0.3333,0.0006,0.5343
18,0.0,0.0,0.0,0.6717,0.02025008299214341,1.0,0.03969631236442516,0.7233,0.0,0.0,0.0,0.6959,0.0203,0.0068,0.3333,0.0132,0.697
19,0.9788646674781454,1.0,0.9893194654140804,0.648,0.0,0.0,0.0,0.6717,0.0,0.0,0.0,0.9135,0.9789,0.3263,0.3333,0.3298,0.7444
20,0.0,0.0,0.0,0.6484,0.02025008299214341,1.0,0.03969631236442516,0.6791,0.0,0.0,0.0,0.8571,0.0203,0.0068,0.3333,0.0132,0.7282
21,0.9788646674781454,1.0,0.9893194654140804,0.6401,0.0,0.0,0.0,0.6729,0.0,0.0,0.0,0.7668,0.9789,0.3263,0.3333,0.3298,0.6933
22,0.0,0.0,0.0,0.6306,0.0,0.0,0.0,0.6708,0.0008852495297111873,1.0,0.0017689331122166944,0.7185,0.0009,0.0003,0.3333,0.0006,0.6733
23,0.9788646674781454,1.0,0.9893194654140804,0.6321,0.0,0.0,0.0,0.6822,0.0,0.0,0.0,0.928,0.9789,0.3263,0.3333,0.3298,0.7474
FINALTEST,0.9924423730948482,0.8906850553922677,0.9388144176347929,0.8837,0.11367837338262476,0.6721311475409836,0.19446640316205532,0.884,0.5,1.0,0.6666666666666666,0.9998,0.8864,0.5354,0.8543,0.6,0.9225
