Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9956941696729896,0.9672168211621072,0.9812489248236711,0.9748,0.34101382488479265,0.8087431693989071,0.4797406807131281,0.9749,0.6,0.75,0.6666666666666665,0.9993,0.9638,0.6456,0.842,0.7092,0.983
1,0.997559785261103,0.9242595523400406,0.9595117943903297,0.9745,0.19879518072289157,0.9016393442622951,0.32576505429417574,0.9738,0.5454545454545454,0.75,0.631578947368421,0.9994,0.9236,0.5806,0.8586,0.639,0.9826
2,0.9970518867924528,0.955799231290979,0.9759898418561699,0.9765,0.2896174863387978,0.8688524590163934,0.4344262295081967,0.9769,0.75,0.75,0.75,0.9868,0.9539,0.6789,0.8582,0.7201,0.9801
3,0.9958644457208501,0.9799909563644585,0.9878639393766736,0.9764,0.45987654320987653,0.8142076502732241,0.5877712031558184,0.9756,0.75,0.75,0.75,0.9993,0.9764,0.7352,0.8481,0.7752,0.9838
4,0.9951281753856861,0.9698168663802849,0.9823094979103453,0.9703,0.3583959899749373,0.7814207650273224,0.4914089347079037,0.9725,0.35294117647058826,0.75,0.48,0.94,0.9658,0.5688,0.8337,0.6512,0.9609
5,0.9969889982628836,0.9732082297083428,0.9849550941021681,0.9806,0.4,0.8633879781420765,0.5467128027681661,0.9814,0.8571428571428571,0.75,0.7999999999999999,0.979,0.9708,0.7514,0.8622,0.7772,0.9803
6,0.9967274427302478,0.9640515487225865,0.9801172279048385,0.971,0.33052631578947367,0.8579234972677595,0.4772036474164134,0.9756,0.8333333333333334,0.625,0.7142857142857143,0.9079,0.9616,0.7202,0.8157,0.7239,0.9515
7,0.9946057615057959,0.9796518200316527,0.9870721567287432,0.9716,0.4353312302839117,0.7540983606557377,0.552,0.9732,0.8571428571428571,0.75,0.7999999999999999,0.9737,0.9749,0.7624,0.8279,0.7797,0.9728
8,0.9948222298929927,0.9773909111462808,0.9860295375491817,0.9731,0.41297935103244837,0.7650273224043715,0.5363984674329502,0.9733,0.8571428571428571,0.75,0.7999999999999999,0.9981,0.9729,0.755,0.8308,0.7741,0.9815
9,0.9960739030023095,0.9751300022609088,0.9854906889066606,0.9739,0.4081081081081081,0.825136612021858,0.546112115732369,0.9741,0.8571428571428571,0.75,0.7999999999999999,0.9816,0.9719,0.7538,0.8501,0.7772,0.9765
10,0.9960405263770816,0.9668776848293014,0.981242471175357,0.966,0.34085778781038373,0.825136612021858,0.48242811501597443,0.9687,0.8571428571428571,0.75,0.7999999999999999,0.9604,0.9638,0.7313,0.8473,0.7546,0.965
11,0.9920868189011983,0.9920868189011983,0.9920868189011983,0.9749,0.625,0.6284153005464481,0.6267029972752044,0.9744,0.8571428571428571,0.75,0.7999999999999999,0.9834,0.9845,0.8247,0.7902,0.8063,0.9776
12,0.9924965893587995,0.9868867284648428,0.9896837093300078,0.9648,0.5085470085470085,0.6502732240437158,0.5707434052757793,0.9641,0.8571428571428571,0.75,0.7999999999999999,0.9951,0.9799,0.7861,0.7957,0.7868,0.9747
13,0.994841224349421,0.9810083653628758,0.9878763731572655,0.9726,0.4560260586319218,0.7650273224043715,0.5714285714285714,0.9726,0.8571428571428571,0.75,0.7999999999999999,0.9933,0.9764,0.7693,0.832,0.7864,0.9795
14,0.9941640920013731,0.9821388198055618,0.9881148706283764,0.9756,0.4623287671232877,0.7377049180327869,0.5684210526315789,0.9771,0.8333333333333334,0.625,0.7142857142857143,0.9846,0.9769,0.7633,0.7816,0.7569,0.9791
15,0.9949523918779397,0.9804431381415329,0.9876444798724593,0.9746,0.45222929936305734,0.7759562841530054,0.5714285714285714,0.9755,0.8333333333333334,0.625,0.7142857142857143,0.9801,0.976,0.7602,0.7938,0.7578,0.9768
16,0.9925305568130376,0.9914085462355867,0.9919692342495193,0.9676,0.6134020618556701,0.6502732240437158,0.6312997347480106,0.9675,0.8571428571428571,0.75,0.7999999999999999,0.9756,0.9843,0.821,0.7972,0.8078,0.9702
17,0.9941886964448496,0.9863215012434999,0.9902394733855409,0.9655,0.5296442687747036,0.73224043715847,0.6146788990825689,0.9661,0.75,0.75,0.75,0.986,0.981,0.7579,0.8229,0.785,0.9726
18,0.9947338294218661,0.9822518652498304,0.9884534440589272,0.9562,0.47278911564625853,0.7595628415300546,0.5828092243186582,0.9571,0.75,0.75,0.75,0.9719,0.9775,0.7392,0.8306,0.7738,0.9617
19,0.9956331877729258,0.9794257291431155,0.987462958741737,0.9757,0.4481707317073171,0.8032786885245902,0.5753424657534246,0.9761,0.8571428571428571,0.75,0.7999999999999999,0.9674,0.9757,0.767,0.8442,0.7876,0.9731
20,0.9949396204715354,0.9779561383676237,0.9863747790889914,0.9675,0.43119266055045874,0.7704918032786885,0.5529411764705883,0.9685,0.3333333333333333,0.625,0.43478260869565216,0.9884,0.9734,0.5865,0.7911,0.658,0.9748
21,0.9952,0.9843997286909337,0.9897704023641737,0.9656,0.5071428571428571,0.7759562841530054,0.6133909287257019,0.9701,0.8571428571428571,0.75,0.7999999999999999,0.8906,0.98,0.7865,0.8368,0.8011,0.9421
22,0.9913004180318608,0.9918607280126611,0.9915804938690174,0.9571,0.6043956043956044,0.6010928961748634,0.6027397260273973,0.972,1.0,0.5,0.6666666666666666,0.7897,0.9835,0.8652,0.6977,0.7537,0.9063
23,0.9957432121491027,0.9784083201446981,0.9869996578857337,0.9748,0.43952802359882004,0.8142076502732241,0.5708812260536398,0.9766,0.8333333333333334,0.625,0.7142857142857143,0.9423,0.9748,0.7562,0.8059,0.7574,0.9646
24,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
25,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
26,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
27,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
28,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
29,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
30,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
31,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
32,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
33,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
34,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
35,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
36,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9919864559819414,0.99355640967669,0.992770812154072,0.9754,0.6726190476190477,0.6174863387978142,0.6438746438746439,0.9757,0.7777777777777778,0.875,0.823529411764706,0.9971,0.9858,0.8141,0.8287,0.8201,0.9827
