Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9948506694129763,0.9828170924711734,0.9887972704009098,0.9656,0.48299319727891155,0.7759562841530054,0.5953878406708596,0.9685,1.0,0.5,0.6666666666666666,0.9625,0.9782,0.8259,0.7529,0.7503,0.9655
0,0.9864804469273744,0.9980782274474339,0.9922454484153743,0.9642,0.8045977011494253,0.3825136612021858,0.5185185185185185,0.9675,0.0,0.0,0.0,0.9784,0.9847,0.597,0.4602,0.5036,0.97
1,0.0,0.0,0.0,0.8441,0.02025008299214341,1.0,0.03969631236442516,0.8512,0.0,0.0,0.0,0.2776,0.0203,0.0068,0.3333,0.0132,0.6576
2,0.9993104637131529,0.6553244404250509,0.7915614118932205,0.9329,0.0,0.0,0.0,0.118,0.002472187886279357,1.0,0.004932182490752157,0.9786,0.6424,0.3339,0.5518,0.2655,0.6765
3,0.0,0.0,0.0,0.8429,0.02025008299214341,1.0,0.03969631236442516,0.8543,0.0,0.0,0.0,0.8424,0.0203,0.0068,0.3333,0.0132,0.8465
4,0.0,0.0,0.0,0.6997,0.02025008299214341,1.0,0.03969631236442516,0.6968,0.0,0.0,0.0,0.9441,0.0203,0.0068,0.3333,0.0132,0.7802
5,0.9805986696230599,0.9998869545557314,0.9901488861524684,0.9335,0.9411764705882353,0.08743169398907104,0.15999999999999998,0.9503,0.0,0.0,0.0,0.8397,0.9805,0.6406,0.3624,0.3834,0.9078
6,0.9788646674781454,1.0,0.9893194654140804,0.1526,0.0,0.0,0.0,0.1397,0.0,0.0,0.0,0.2638,0.9789,0.3263,0.3333,0.3298,0.1854
7,0.9788646674781454,1.0,0.9893194654140804,0.6712,0.0,0.0,0.0,0.6705,0.0,0.0,0.0,0.6276,0.9789,0.3263,0.3333,0.3298,0.6564
8,0.9819859891026353,0.9983043183359711,0.9900779191658725,0.7838,0.75,0.08196721311475409,0.1477832512315271,0.8284,0.20833333333333334,0.625,0.3125,0.8726,0.9794,0.6468,0.5684,0.4835,0.8283
9,1.0,0.0006782726656115759,0.0013556258472661546,0.8733,0.020297249334516414,1.0,0.03978693336232199,0.8709,0.0,0.0,0.0,0.8595,0.0209,0.3401,0.3336,0.0137,0.8679
10,0.9788646674781454,1.0,0.9893194654140804,0.7935,0.0,0.0,0.0,0.7918,0.0,0.0,0.0,0.7939,0.9789,0.3263,0.3333,0.3298,0.7931
11,0.9788646674781454,1.0,0.9893194654140804,0.8216,0.0,0.0,0.0,0.8343,0.0,0.0,0.0,0.8111,0.9789,0.3263,0.3333,0.3298,0.8223
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9854862119013063,0.9978521365588967,0.991630624052126,0.9697,0.75,0.32786885245901637,0.45627376425855515,0.9734,0.0,0.0,0.0,0.9835,0.9834,0.5785,0.4419,0.4826,0.9755
