Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9988730277986476,0.9017635089305901,0.9478374524714829,0.9763,0.16682646212847554,0.9508196721311475,0.2838499184339314,0.9757,0.75,0.75,0.75,0.9887,0.9026,0.6386,0.8675,0.6606,0.9802
1,0.9968432129077517,0.9638254578340493,0.9800563250761538,0.9809,0.3333333333333333,0.8633879781420765,0.48097412480974117,0.9808,0.6,0.75,0.6666666666666665,0.9794,0.9616,0.6434,0.8591,0.7092,0.9803
2,0.9959467284308049,0.9721908207099254,0.9839254047251301,0.9731,0.379746835443038,0.819672131147541,0.5190311418685122,0.9796,0.8571428571428571,0.75,0.7999999999999999,0.8679,0.9689,0.7443,0.8473,0.7677,0.9402
3,0.9961920147703669,0.975921320370789,0.9859524897213339,0.9733,0.4191780821917808,0.8360655737704918,0.5583941605839416,0.9806,0.8333333333333334,0.625,0.7142857142857143,0.7934,0.9728,0.7496,0.8123,0.7529,0.9158
4,0.9971837596808261,0.9606601853945286,0.9785812989405803,0.9791,0.3155818540433925,0.8743169398907104,0.46376811594202905,0.9788,0.75,0.75,0.75,0.9758,0.9587,0.6876,0.8617,0.7308,0.9779
5,0.995852534562212,0.9771648202577436,0.9864201757389023,0.9663,0.4281609195402299,0.8142076502732241,0.5612052730696799,0.9661,0.6666666666666666,0.75,0.7058823529411765,0.9785,0.9737,0.6969,0.8471,0.7512,0.9703
6,0.9927544435639081,0.9912955007913181,0.992024435771254,0.9551,0.6142131979695431,0.6612021857923497,0.636842105263158,0.9659,0.8571428571428571,0.75,0.7999999999999999,0.982,0.9844,0.8214,0.8008,0.8096,0.9677
7,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
8,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
9,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
10,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
11,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
22,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
23,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
24,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
25,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
26,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9925398440149203,0.9926520461225412,0.9925959418979258,0.9502,0.6574585635359116,0.6502732240437158,0.6538461538461539,0.9616,0.6666666666666666,0.75,0.7058823529411765,0.9998,0.9855,0.7722,0.7976,0.7841,0.9705
