Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9973715651135006,0.9437033687542392,0.9697955390334573,0.9774,0.24545454545454545,0.8852459016393442,0.38434163701067614,0.9774,0.8571428571428571,0.75,0.7999999999999999,0.995,0.9423,0.7,0.8596,0.718,0.9833
1,0.9978396543446951,0.9398598236491069,0.967982302945628,0.9752,0.2374821173104435,0.907103825136612,0.37641723356009077,0.9761,0.8333333333333334,0.625,0.7142857142857143,0.987,0.9389,0.6896,0.824,0.6862,0.9794
2,0.99551466359977,0.9785213655889667,0.9869448720141384,0.9704,0.4388059701492537,0.8032786885245902,0.5675675675675675,0.9704,0.7142857142857143,0.625,0.6666666666666666,0.9536,0.9747,0.7162,0.8023,0.7404,0.9648
3,0.9951967063129002,0.9837214560253221,0.989425810119386,0.9711,0.5017543859649123,0.7814207650273224,0.6111111111111112,0.9729,0.75,0.75,0.75,0.8779,0.9794,0.749,0.8384,0.7835,0.9406
4,0.9951890034364261,0.9821388198055618,0.9886208466090123,0.9539,0.4766666666666667,0.7814207650273224,0.5921325051759834,0.9576,0.8571428571428571,0.75,0.7999999999999999,0.8191,0.9779,0.7763,0.8379,0.7936,0.9102
5,0.993745024451268,0.9877910920189916,0.9907591133284199,0.9616,0.5504201680672269,0.7158469945355191,0.6223277909738718,0.9611,0.8333333333333334,0.625,0.7142857142857143,0.9302,0.982,0.7925,0.7762,0.7758,0.951
6,0.9941920054663478,0.9868867284648428,0.9905258977704657,0.9581,0.5403225806451613,0.73224043715847,0.6218097447795823,0.9634,0.75,0.75,0.75,0.7676,0.9815,0.7615,0.823,0.7874,0.8964
7,0.9949771689497717,0.9853040922450825,0.9901170055662842,0.9589,0.5222222222222223,0.7704918032786885,0.6225165562913907,0.9593,0.8571428571428571,0.75,0.7999999999999999,0.8914,0.9807,0.7914,0.8353,0.8042,0.9365
8,0.9942117807286347,0.9902780917929007,0.9922410375488475,0.9605,0.6118721461187214,0.73224043715847,0.6666666666666666,0.973,0.8571428571428571,0.75,0.7999999999999999,0.8689,0.9848,0.8211,0.8242,0.8196,0.9341
9,0.9940969463049154,0.9899389554600949,0.9920135938827528,0.9353,0.6036036036036037,0.73224043715847,0.6617283950617285,0.9402,0.8333333333333334,0.625,0.7142857142857143,0.7872,0.9844,0.8103,0.7824,0.7893,0.8876
10,0.9926636568848759,0.9942346823423016,0.9934485485146279,0.9344,0.7076023391812866,0.6612021857923497,0.6836158192090396,0.9401,0.8333333333333334,0.625,0.7142857142857143,0.8257,0.9872,0.8445,0.7601,0.7971,0.9001
11,0.9923293852227862,0.9944607732308388,0.9933939359719949,0.964,0.7090909090909091,0.639344262295082,0.6724137931034484,0.9663,0.8571428571428571,0.75,0.7999999999999999,0.817,0.9871,0.8529,0.7946,0.8219,0.9157
12,0.9955311103471983,0.9821388198055618,0.9887896204404484,0.9482,0.48344370860927155,0.7978142076502732,0.6020618556701031,0.9513,0.75,0.75,0.75,0.904,0.9782,0.743,0.8433,0.7803,0.9345
13,0.9914452949122017,0.9957042731177933,0.9935702199661589,0.9465,0.7414965986394558,0.5956284153005464,0.6606060606060605,0.9572,1.0,0.75,0.8571428571428571,0.8543,0.9874,0.911,0.7804,0.8371,0.9194
14,0.9933152050759121,0.9910694099027809,0.9921910366681757,0.9464,0.6176470588235294,0.6885245901639344,0.6511627906976745,0.9444,0.8571428571428571,0.75,0.7999999999999999,0.9855,0.9847,0.8227,0.8099,0.8145,0.9588
15,0.9947542479188048,0.9860954103549627,0.9904059040590406,0.96,0.5325670498084292,0.7595628415300546,0.6261261261261261,0.9638,0.8571428571428571,0.75,0.7999999999999999,0.9609,0.9813,0.7948,0.8319,0.8055,0.9615
16,0.992223599684436,0.995252091340719,0.9937355381229189,0.9649,0.740506329113924,0.639344262295082,0.6862170087976539,0.9654,0.8333333333333334,0.625,0.7142857142857143,0.9664,0.9877,0.8554,0.7532,0.7981,0.9656
