Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9931949642735625,0.9899389554600949,0.9915642869274756,0.9611,0.5849056603773585,0.6775956284153005,0.6278481012658228,0.9596,0.75,0.75,0.75,0.9967,0.9834,0.776,0.8058,0.7898,0.9725
1,0.993739328400683,0.9868867284648428,0.9903011740684022,0.9689,0.5265306122448979,0.7049180327868853,0.602803738317757,0.9681,0.8571428571428571,0.75,0.7999999999999999,0.9977,0.981,0.7925,0.8139,0.7977,0.9782
2,0.9968224079086736,0.9574949129550079,0.9767629591189528,0.9794,0.29867674858223064,0.8633879781420765,0.44382022471910115,0.9798,0.5454545454545454,0.75,0.631578947368421,0.9929,0.9554,0.6137,0.857,0.6841,0.984
3,0.9970023980815348,0.9399728690933755,0.9676480856511114,0.9688,0.23265895953757226,0.8797814207650273,0.36800000000000005,0.9704,0.8,0.5,0.6153846153846154,0.9654,0.9384,0.6766,0.7733,0.6503,0.9682
4,0.9928837682141647,0.9936694551209586,0.9932764562969659,0.9747,0.6892655367231638,0.6666666666666666,0.6777777777777778,0.974,0.8571428571428571,0.75,0.7999999999999999,0.9901,0.9868,0.8464,0.8034,0.8237,0.9796
5,0.9973989122724048,0.9536513678498757,0.9750346740638004,0.9798,0.28496503496503495,0.8907103825136612,0.4317880794701987,0.9801,0.8571428571428571,0.75,0.7999999999999999,0.9819,0.9522,0.7132,0.8648,0.7356,0.9806
6,0.9949587534372135,0.9816866380284874,0.9882781381586434,0.9592,0.46688741721854304,0.7704918032786885,0.5814432989690721,0.9604,0.8571428571428571,0.75,0.7999999999999999,0.9595,0.9772,0.773,0.8341,0.7899,0.9597
7,0.9954317039744175,0.9853040922450825,0.9903420065901601,0.9683,0.5291970802919708,0.7923497267759563,0.6345733041575492,0.9712,0.8571428571428571,0.75,0.7999999999999999,0.9465,0.9812,0.7939,0.8426,0.8083,0.962
8,0.9937691174804577,0.9916346371241239,0.9927007299270073,0.9771,0.6403940886699507,0.7103825136612022,0.6735751295336787,0.9772,0.8571428571428571,0.75,0.7999999999999999,0.979,0.9857,0.8304,0.8173,0.8221,0.9778
9,0.9963035693658311,0.9750169568166402,0.985545335085414,0.9705,0.4075067024128686,0.8306010928961749,0.5467625899280575,0.9696,0.8571428571428571,0.75,0.7999999999999999,0.9863,0.9719,0.7537,0.8519,0.7774,0.9755
10,0.9937228943163662,0.9842866832466651,0.988982280781463,0.9663,0.4888888888888889,0.7213114754098361,0.5827814569536424,0.9698,0.8,0.5,0.6153846153846154,0.934,0.9785,0.7609,0.7352,0.729,0.9567
11,0.9920993227990971,0.9936694551209586,0.9928837682141647,0.9745,0.6845238095238095,0.6284153005464481,0.6552706552706553,0.9757,0.6666666666666666,0.75,0.7058823529411765,0.9664,0.9861,0.7811,0.7907,0.7847,0.9722
