Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9969711654955173,0.9302509608862762,0.9624561403508772,0.9691,0.20703125,0.8688524590163934,0.33438485804416407,0.9686,0.4666666666666667,0.875,0.608695652173913,0.9872,0.929,0.5569,0.8914,0.6352,0.9749
1,0.9982652788897785,0.8456929685733665,0.9156670746634027,0.9706,0.11140065146579804,0.9344262295081968,0.1990686845168801,0.9715,0.75,0.75,0.75,0.963,0.8474,0.6199,0.8434,0.6216,0.9684
2,0.9964294215662938,0.9464164594166855,0.9707792207792209,0.9636,0.2467948717948718,0.8415300546448088,0.38166047087980176,0.9642,0.6363636363636364,0.875,0.7368421052631579,0.9841,0.9442,0.6265,0.8876,0.6964,0.9706
3,0.9955029585798817,0.9509382771874293,0.9727104532839962,0.9646,0.2815533980582524,0.7923497267759563,0.41547277936962745,0.9673,0.09722222222222222,0.875,0.17500000000000002,0.9745,0.9477,0.4581,0.8728,0.5211,0.9688
4,0.9967383425948296,0.9327379606601854,0.9636767110488205,0.9648,0.2096128170894526,0.8579234972677595,0.3369098712446352,0.9654,0.7,0.875,0.7777777777777777,0.9989,0.9312,0.6355,0.8886,0.6928,0.9764
5,0.9953574744661096,0.9694777300474791,0.9822471652731646,0.9732,0.384,0.7868852459016393,0.5161290322580646,0.9725,0.15217391304347827,0.875,0.2592592592592593,0.9952,0.9657,0.5105,0.8771,0.5859,0.9803
6,0.9939566704675028,0.9854171376893511,0.9896684831970934,0.9624,0.5327868852459017,0.7103825136612022,0.6088992974238876,0.9612,0.30434782608695654,0.875,0.4516129032258065,0.9788,0.9797,0.6104,0.8569,0.6834,0.9675
7,0.9963369963369964,0.9531991860728013,0.9742908313594085,0.9679,0.27208480565371024,0.8415300546448088,0.411214953271028,0.9679,0.75,0.75,0.75,0.9992,0.9508,0.6728,0.8482,0.7118,0.9784
8,0.9967058823529412,0.9577210038435451,0.9768246281563473,0.9628,0.2962264150943396,0.8579234972677595,0.44039270687237025,0.9622,0.8571428571428571,0.75,0.7999999999999999,0.9639,0.9555,0.7167,0.8552,0.7391,0.963
9,0.9960047003525264,0.9581731856206195,0.9767227471767688,0.9586,0.2901353965183752,0.819672131147541,0.4285714285714285,0.9609,0.7,0.875,0.7777777777777777,0.9978,0.9553,0.662,0.8843,0.7277,0.9724
10,0.9952911450557023,0.9796518200316527,0.9874095596194383,0.9624,0.4528301886792453,0.7868852459016393,0.5748502994011977,0.9556,0.5,0.75,0.6,0.9669,0.9755,0.6494,0.8388,0.7208,0.9616
11,0.9968813721962336,0.9395206873163011,0.967351452016528,0.9687,0.22910662824207492,0.8688524590163934,0.3625997719498289,0.9683,1.0,0.75,0.8571428571428571,0.993,0.9379,0.742,0.8528,0.729,0.9767
12,0.9976919339164237,0.9284422337779787,0.9618222274270991,0.967,0.20828105395232122,0.907103825136612,0.3387755102040816,0.9669,0.75,0.75,0.75,0.9714,0.9279,0.652,0.8618,0.6835,0.9684
13,0.9965010496850945,0.965860275830884,0.9809414466130884,0.9582,0.3399122807017544,0.8469945355191257,0.4851330203442879,0.9605,0.8571428571428571,0.75,0.7999999999999999,0.9975,0.9633,0.7312,0.8543,0.7554,0.9721
14,0.994612563044475,0.9808953199186072,0.9877063175867957,0.9487,0.4477124183006536,0.7486338797814208,0.5603271983640082,0.9502,0.8571428571428571,0.75,0.7999999999999999,0.9944,0.976,0.7665,0.8265,0.7827,0.9645
15,0.9945783827431076,0.9746778204838346,0.9845275478161576,0.9386,0.3784530386740331,0.7486338797814208,0.5027522935779817,0.9551,1.0,0.75,0.8571428571428571,0.9767,0.9699,0.791,0.8244,0.7815,0.9568
16,0.9976938948901566,0.9292335518878589,0.9622475856014048,0.9638,0.20785804816223066,0.8961748633879781,0.3374485596707819,0.9625,0.7777777777777778,0.875,0.823529411764706,0.9962,0.9285,0.6611,0.9001,0.7077,0.9741
17,0.9975683890577508,0.9275378702238299,0.9612793626618241,0.9623,0.20398009950248755,0.8961748633879781,0.3323201621073961,0.9616,0.75,0.75,0.75,0.9988,0.9267,0.6505,0.8579,0.6812,0.9742
18,0.9959448499594485,0.971738638932851,0.9836928534645534,0.9607,0.37593984962406013,0.819672131147541,0.5154639175257731,0.96,0.8571428571428571,0.75,0.7999999999999999,0.9996,0.9685,0.743,0.8471,0.7664,0.9734
19,0.993305344377624,0.9895998191272891,0.9914491194291862,0.9251,0.5799086757990868,0.6939890710382514,0.6318407960199006,0.9607,1.0,0.625,0.7692307692307693,0.992,0.9833,0.8577,0.7695,0.7975,0.9593
20,0.9981275745849457,0.9039113723716934,0.9486860058136086,0.968,0.16584887144259078,0.9234972677595629,0.281198003327787,0.9688,0.8571428571428571,0.75,0.7999999999999999,0.9956,0.9042,0.6737,0.8591,0.6766,0.9774
21,0.9974141115626154,0.9156680985756274,0.954794601284847,0.9583,0.1793179317931793,0.8907103825136612,0.29853479853479853,0.9581,0.8571428571428571,0.75,0.7999999999999999,0.9989,0.915,0.678,0.8521,0.6844,0.9718
22,0.9983748645720477,0.8333710151480895,0.9084411583487368,0.9619,0.10445937690897984,0.9344262295081968,0.18791208791208794,0.9605,0.375,0.75,0.5,0.9967,0.8353,0.4926,0.8393,0.5321,0.973
23,0.992186615332352,0.9905041826814379,0.9913446851841374,0.9077,0.6373626373626373,0.6338797814207651,0.6356164383561643,0.947,0.25,0.75,0.375,0.9923,0.9831,0.6265,0.7915,0.6673,0.949
24,0.9973867595818815,0.9060592358127968,0.9495320459661178,0.9505,0.16448032290615539,0.8907103825136612,0.2776831345826235,0.9492,0.6,0.75,0.6666666666666665,0.9996,0.9056,0.5873,0.8489,0.6313,0.9665
25,0.9987199180747568,0.8819805561835858,0.9367270980910074,0.9667,0.1440466278101582,0.9453551912568307,0.25,0.9617,0.25,0.75,0.375,0.9973,0.8831,0.4643,0.8591,0.5206,0.9752
26,0.9958139534883721,0.968121184716256,0.9817723260346212,0.9518,0.34265734265734266,0.8032786885245902,0.48039215686274506,0.9528,0.75,0.75,0.75,0.991,0.9646,0.6962,0.8405,0.7374,0.9652
27,0.9941880341880341,0.9862084557992313,0.9901821690028942,0.9268,0.5275590551181102,0.73224043715847,0.6132723112128147,0.94,0.75,0.75,0.75,0.9819,0.9809,0.7572,0.8228,0.7845,0.9496
28,0.9972458688032048,0.9005200090436355,0.9464179636450041,0.9589,0.15576923076923077,0.8852459016393442,0.2649223221586263,0.9591,0.7777777777777778,0.875,0.823529411764706,0.9834,0.9002,0.6436,0.8869,0.6783,0.9671
29,0.989658273381295,0.995252091340719,0.9924473001916356,0.8979,0.87,0.47540983606557374,0.6148409893992932,0.9288,0.14634146341463414,0.75,0.24489795918367344,0.9734,0.9845,0.6687,0.7402,0.6174,0.9334
30,0.9961362838075167,0.9617906398372146,0.9786622188991775,0.9585,0.31020408163265306,0.8306010928961749,0.4517087667161962,0.9617,1.0,0.75,0.8571428571428571,0.9755,0.9589,0.7688,0.8475,0.7625,0.9652
31,0.9987472160356348,0.8111010626271761,0.8951965065502184,0.964,0.09425785482123511,0.9508196721311475,0.17151306062099556,0.9631,0.8571428571428571,0.75,0.7999999999999999,0.9878,0.8139,0.65,0.8373,0.6222,0.9716
32,0.9939559812977534,0.9853040922450825,0.9896111268804997,0.9406,0.5077519379844961,0.7158469945355191,0.5941043083900226,0.9477,0.7,0.875,0.7777777777777777,0.9966,0.9797,0.7339,0.8587,0.7872,0.9616
33,0.9965414430530709,0.944607732308388,0.9698798676803435,0.9641,0.2391304347826087,0.8415300546448088,0.37243047158403875,0.962,0.875,0.875,0.875,0.9999,0.9425,0.7036,0.887,0.7391,0.9753
34,0.9932931681254973,0.9877910920189916,0.9905344895992745,0.9116,0.5423728813559322,0.6994535519125683,0.6109785202863962,0.9484,1.0,0.5,0.6666666666666666,0.9838,0.9815,0.8452,0.7291,0.7561,0.948
35,0.9921037789058094,0.9942346823423016,0.993168087629157,0.9107,0.6964285714285714,0.639344262295082,0.6666666666666667,0.9258,1.0,0.5,0.6666666666666666,0.9781,0.9866,0.8962,0.7112,0.7755,0.9382
36,0.9798382629888114,0.9998869545557314,0.9897610921501706,0.7348,1.0,0.01092896174863388,0.021621621621621623,0.9122,0.75,0.75,0.75,0.9745,0.9796,0.9099,0.5869,0.5871,0.8738
37,0.9869346733668342,0.9990956364458512,0.9929779225886187,0.7811,0.8947368421052632,0.37158469945355194,0.525096525096525,0.8784,0.8333333333333334,0.625,0.7142857142857143,0.9907,0.9861,0.905,0.6652,0.7441,0.8834
38,0.997190668132405,0.9229030070088176,0.9586097575295015,0.9436,0.19166666666666668,0.8797814207650273,0.3147605083088954,0.9457,0.5,0.625,0.5555555555555556,0.9197,0.9218,0.563,0.8092,0.6096,0.9363
39,0.9947162876177349,0.9789735473660411,0.986782133090246,0.9456,0.42901234567901236,0.7595628415300546,0.5483234714003944,0.9433,0.8571428571428571,0.75,0.7999999999999999,0.9926,0.9743,0.7603,0.8295,0.7784,0.9605
FINALTEST,0.9921875,0.9906172281257065,0.9914017422785383,0.9056,0.582089552238806,0.639344262295082,0.609375,0.9601,1.0,0.5,0.6666666666666666,0.9893,0.9831,0.8581,0.71,0.7558,0.9517
