Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9845573499941058,0.9441555505313136,0.9639332910150614,0.8076,0.10728744939271255,0.2896174863387978,0.15657311669128507,0.8037,0.1,0.75,0.17647058823529416,0.9914,0.9307,0.3973,0.6613,0.4323,0.8675
1,0.9908305647840532,0.8428668324666516,0.9108789933418852,0.834,0.07749326145552561,0.6284153005464481,0.13797240551889622,0.8423,0.25,0.875,0.3888888888888889,0.9545,0.8386,0.4394,0.7821,0.4792,0.8769
2,0.9931897150799166,0.8078227447433869,0.8909668973256032,0.8567,0.07458563535911603,0.7377049180327869,0.1354741595584546,0.8548,0.21875,0.875,0.35,0.9683,0.8065,0.4288,0.8068,0.4588,0.8933
3,0.991375,0.8965634184942347,0.9415885076576043,0.884,0.115,0.6284153005464481,0.1944209636517329,0.8861,0.1891891891891892,0.875,0.3111111111111111,0.9131,0.8911,0.4319,0.8,0.4824,0.8944
4,0.997275668312617,0.6621071670811667,0.7958421088389156,0.8872,0.0534181240063593,0.9180327868852459,0.10096153846153846,0.8883,0.3157894736842105,0.75,0.44444444444444436,0.965,0.6674,0.4555,0.7767,0.4471,0.9135
5,0.9926001531002807,0.8794935564096766,0.932630064732678,0.8914,0.10901287553648069,0.6939890710382514,0.1884272997032641,0.8933,0.17647058823529413,0.75,0.2857142857142857,0.9672,0.8756,0.426,0.7745,0.4689,0.9173
6,0.9927071545328807,0.8924937825005652,0.9399369010060122,0.8881,0.12352941176470589,0.6885245901639344,0.2094763092269327,0.8917,0.109375,0.875,0.19444444444444445,0.9606,0.8883,0.4085,0.8187,0.448,0.9135
7,0.9949182804559813,0.8189011982817093,0.8983691945185094,0.8941,0.0859465737514518,0.8087431693989071,0.15538057742782155,0.8946,0.17647058823529413,0.75,0.2857142857142857,0.9559,0.8186,0.4191,0.7925,0.4465,0.9148
8,0.9967835316822129,0.7006556635767579,0.8228890069038768,0.9006,0.059160989602007885,0.9016393442622951,0.11103633916554508,0.9035,0.2,0.75,0.31578947368421056,0.956,0.7048,0.4186,0.7841,0.4166,0.92
9,0.9924110475242598,0.9017635089305901,0.9449182658137883,0.8884,0.1277258566978193,0.6721311475409836,0.21465968586387432,0.8885,0.19444444444444445,0.875,0.3181818181818182,0.8771,0.8971,0.4382,0.8163,0.4926,0.8847
10,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
11,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
22,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
23,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
24,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
25,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
