Model,Selected_Type,Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC,Epoch_num
inception_next_small.sail_in1k,Best,13,0.9914452949122016,0.9957042731177932,0.9935702199661588,0.9465,0.7414965986394558,0.5956284153005464,0.6606060606060605,0.9572,1.0,0.75,0.8571428571428571,0.8543,0.9874,0.911,0.7804,0.8371,0.9194,13.0
inception_next_small.sail_in1k,FinalTest,FINALTEST,0.9904494382022472,0.9964955912276736,0.9934633156767722,0.9471,0.7709923664122137,0.5519125683060109,0.643312101910828,0.9582,0.8333333333333334,0.625,0.7142857142857143,0.9926,0.9872,0.8649,0.7245,0.7837,0.966,
tiny_vit_21m_224.dist_in22k_ft_in1k,Best,14,0.9933288104929896,0.9931042278996156,0.993216506500848,0.9804,0.6756756756756757,0.6830601092896175,0.6793478260869565,0.9798,0.875,0.875,0.875,0.9952,0.9867,0.848,0.8504,0.8492,0.9851,14.0
tiny_vit_21m_224.dist_in22k_ft_in1k,FinalTest,FINALTEST,0.9927716286424216,0.9936694551209586,0.9932203389830508,0.9765,0.6936416184971098,0.6557377049180327,0.6741573033707865,0.978,0.7,0.875,0.7777777777777777,0.9813,0.9867,0.7955,0.8415,0.8151,0.9786,
pvt_v2_b4.in1k,Best,10,0.9944273854202206,0.9884693646846032,0.9914394240036284,0.9802,0.576271186440678,0.7431693989071039,0.649164677804296,0.9804,0.75,0.75,0.75,0.9918,0.9833,0.7736,0.8272,0.7969,0.9841,10.0
pvt_v2_b4.in1k,FinalTest,FINALTEST,0.9930917327293318,0.991295500791318,0.9921928038017652,0.9812,0.6231155778894473,0.6775956284153005,0.649214659685864,0.9811,0.625,0.625,0.625,0.9979,0.9846,0.7471,0.7646,0.7555,0.9867,
resnet50.a1_in1k,Best,11,0.9940982862331176,0.990165046348632,0.9921277680240131,0.9403,0.6045454545454545,0.726775956284153,0.6600496277915632,0.9412,1.0,0.75,0.8571428571428571,0.9803,0.9846,0.8662,0.8223,0.8364,0.9539,11.0
resnet50.a1_in1k,FinalTest,FINALTEST,0.992980072463768,0.9914085462355868,0.992193687068673,0.9644,0.6262626262626263,0.6775956284153005,0.6509186351706038,0.9704,0.7142857142857143,0.625,0.6666666666666666,0.9072,0.9847,0.7778,0.7647,0.7699,0.9473,
efficientnetv2_rw_t.ra2_in1k,Best,41,0.9913492865970116,0.9975130002260908,0.994421592381811,0.8886,0.8307692307692308,0.5901639344262295,0.6900958466453674,0.964,1.0,0.75,0.8571428571428571,0.9274,0.989,0.9407,0.7792,0.8472,0.9267,41.0
efficientnetv2_rw_t.ra2_in1k,FinalTest,FINALTEST,0.9893402154398564,0.9967216821162108,0.9930172316702331,0.8697,0.7583333333333333,0.4972677595628415,0.6006600660066007,0.9676,0.8,0.5,0.6153846153846154,0.9411,0.9862,0.8492,0.6647,0.7364,0.9262,
deit3_medium_patch16_224.fb_in22k_ft_in1k,Best,16,0.9925305568130376,0.9914085462355868,0.9919692342495192,0.9676,0.6134020618556701,0.6502732240437158,0.6312997347480106,0.9675,0.8571428571428571,0.75,0.7999999999999999,0.9756,0.9843,0.821,0.7972,0.8078,0.9702,16.0
deit3_medium_patch16_224.fb_in22k_ft_in1k,FinalTest,FINALTEST,0.9919864559819414,0.99355640967669,0.992770812154072,0.9754,0.6726190476190477,0.6174863387978142,0.6438746438746439,0.9757,0.7777777777777778,0.875,0.823529411764706,0.9971,0.9858,0.8141,0.8287,0.8201,0.9827,
volo_d1_224.sail_in1k,Best,30,0.9928845719448836,0.9937825005652272,0.9933333333333332,0.9298,0.6892655367231638,0.6666666666666666,0.6777777777777778,0.9119,1.0,0.75,0.8571428571428571,0.9783,0.9869,0.8941,0.8035,0.8428,0.94,30.0
volo_d1_224.sail_in1k,FinalTest,FINALTEST,0.9919936851601264,0.9944607732308388,0.9932256971886644,0.9478,0.7080745341614907,0.6229508196721312,0.6627906976744187,0.9293,0.75,0.75,0.75,0.9945,0.9867,0.8167,0.7891,0.802,0.9572,
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,Best,2,0.994088327344384,0.9694777300474792,0.981628798718022,0.9576,0.3341645885286783,0.73224043715847,0.4589041095890411,0.9621,0.6666666666666666,0.75,0.7058823529411765,0.8809,0.9645,0.665,0.8172,0.7155,0.9335,2.0
convnextv2_tiny.fcmae_ft_in22k_in1k,Best,1,0.9953046266605589,0.9824779561383676,0.9888496984867448,0.9716,0.4832214765100671,0.7868852459016393,0.5987525987525988,0.9744,0.8571428571428571,0.75,0.7999999999999999,0.9383,0.9783,0.7786,0.8398,0.7959,0.9615,1.0
convnextv2_tiny.fcmae_ft_in22k_in1k,FinalTest,FINALTEST,0.9942902820600662,0.9842866832466652,0.9892631937737886,0.9687,0.5,0.7377049180327869,0.5960264900662251,0.9785,0.6,0.75,0.6666666666666665,0.8921,0.9791,0.6981,0.824,0.7507,0.9464,
