Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9972861356932153,0.9554600949581732,0.9759251775301656,0.9808,0.2846715328467153,0.8715083798882681,0.4291609353507565,0.981,0.5,1.0,0.6666666666666666,1.0,0.9538,0.594,0.9423,0.6906,0.9873
1,0.9946499715424019,0.9877910920189916,0.99120866655323,0.9787,0.5523012552301255,0.7374301675977654,0.631578947368421,0.9797,0.6666666666666666,1.0,0.8,1.0,0.9828,0.7379,0.9084,0.8076,0.9861
2,0.9969515769726814,0.9612254126158716,0.9787625899280575,0.9711,0.3084677419354839,0.8547486033519553,0.45333333333333325,0.9728,1.0,1.0,1.0,1.0,0.9591,0.7685,0.9387,0.8107,0.9813
3,0.994670597573421,0.9916346371241239,0.9931502971978489,0.9767,0.6407766990291263,0.7374301675977654,0.6857142857142857,0.9806,1.0,1.0,1.0,1.0,0.9866,0.8785,0.9097,0.893,0.9858
4,0.9961085040631796,0.9838345014695907,0.9899334584541887,0.9755,0.5034722222222222,0.8100558659217877,0.6209850107066381,0.9805,1.0,1.0,1.0,1.0,0.9804,0.8332,0.9313,0.8703,0.9853
5,0.995324438362413,0.9866606375763056,0.9909736020437127,0.9699,0.5390625,0.770949720670391,0.6344827586206897,0.9787,1.0,1.0,1.0,1.0,0.9824,0.8448,0.9192,0.8752,0.9828
6,0.994669993195736,0.9915215916798553,0.9930932971014493,0.962,0.6376811594202898,0.7374301675977654,0.6839378238341968,0.9721,1.0,1.0,1.0,1.0,0.9865,0.8775,0.9097,0.8923,0.978
7,0.9950918844880722,0.9855301831336197,0.9902879536547965,0.9469,0.5151515151515151,0.7597765363128491,0.6139954853273136,0.9682,1.0,1.0,1.0,1.0,0.9811,0.8367,0.9151,0.8681,0.9717
8,0.9930093584395084,0.9955912276735247,0.9942986169912504,0.9403,0.75,0.6536312849162011,0.6985074626865672,0.9797,1.0,1.0,1.0,1.0,0.9888,0.9143,0.8831,0.8976,0.9733
9,0.9947851717492348,0.9919737734569297,0.9933774834437087,0.9592,0.6584158415841584,0.7430167597765364,0.6981627296587927,0.9818,0.5,1.0,0.6666666666666666,1.0,0.987,0.7177,0.9117,0.7861,0.9803
10,0.9952267303102625,0.9899389554600949,0.9925758005100594,0.9519,0.6061946902654868,0.7653631284916201,0.6765432098765433,0.9831,1.0,1.0,1.0,1.0,0.9855,0.8671,0.9184,0.8897,0.9783
11,0.9934574168076706,0.9955912276735247,0.9945231776861836,0.948,0.75625,0.6759776536312849,0.7138643067846607,0.9791,1.0,1.0,1.0,1.0,0.9893,0.9166,0.8905,0.9028,0.9757
12,0.9952353942144072,0.9917476825683925,0.9934884774361588,0.9511,0.6523809523809524,0.7653631284916201,0.7043701799485861,0.9825,1.0,1.0,1.0,1.0,0.9873,0.8825,0.919,0.8993,0.9779
13,0.9957767378153178,0.9862084557992313,0.9909695007667405,0.9648,0.5378787878787878,0.7932960893854749,0.6410835214446952,0.9796,1.0,1.0,1.0,1.0,0.9824,0.8446,0.9265,0.8774,0.9815
14,0.9938989944639024,0.9944607732308388,0.9941798044866362,0.9372,0.7183908045977011,0.6983240223463687,0.7082152974504248,0.9714,1.0,1.0,1.0,1.0,0.9886,0.9041,0.8976,0.9008,0.9695
15,0.9921295255228244,0.9975130002260909,0.994813979706877,0.9316,0.8320610687022901,0.6089385474860335,0.7032258064516129,0.9781,1.0,1.0,1.0,1.0,0.9898,0.9414,0.8688,0.8993,0.9699
16,0.9936737460460913,0.9943477277865702,0.9940106226692282,0.9432,0.7109826589595376,0.6871508379888268,0.6988636363636365,0.9839,1.0,1.0,1.0,1.0,0.9883,0.9016,0.8938,0.8976,0.9757
17,0.9950068088969587,0.9911824553470495,0.9930909502774946,0.9361,0.6338028169014085,0.7541899441340782,0.6887755102040817,0.9792,1.0,1.0,1.0,1.0,0.9865,0.8763,0.9151,0.894,0.9718
18,0.995246717971933,0.994121636898033,0.9946838592919353,0.9444,0.7248677248677249,0.7653631284916201,0.7445652173913045,0.9826,1.0,1.0,1.0,1.0,0.9896,0.9067,0.9198,0.9131,0.9756
19,0.9933476152892096,0.9959303640063305,0.994637313011572,0.929,0.7692307692307693,0.6703910614525139,0.7164179104477612,0.9791,1.0,1.0,1.0,1.0,0.9895,0.9209,0.8888,0.9037,0.9694
20,0.9942340305257208,0.994121636898033,0.9941778305353004,0.9357,0.7111111111111111,0.7150837988826816,0.713091922005571,0.9801,1.0,1.0,1.0,1.0,0.9886,0.9018,0.9031,0.9024,0.9719
21,0.993780391269931,0.9934433642324214,0.9936118491718017,0.9168,0.6813186813186813,0.6927374301675978,0.6869806094182825,0.9661,1.0,1.0,1.0,1.0,0.9875,0.8917,0.8954,0.8935,0.961
22,0.9936730312958988,0.9942346823423016,0.9939537774764085,0.9034,0.7068965517241379,0.6871508379888268,0.6968838526912181,0.9631,1.0,1.0,1.0,1.0,0.9881,0.9002,0.8938,0.8969,0.9555
23,0.9934529856642962,0.9949129550079132,0.9941824343405817,0.9146,0.7289156626506024,0.6759776536312849,0.7014492753623188,0.9728,1.0,1.0,1.0,1.0,0.9886,0.9075,0.8903,0.8985,0.9625
24,0.9930093584395084,0.9955912276735247,0.9942986169912504,0.8985,0.75,0.6536312849162011,0.6985074626865672,0.9666,1.0,1.0,1.0,1.0,0.9888,0.9143,0.8831,0.8976,0.955
25,0.9915673487744547,0.9969477730047479,0.9942502818489289,0.9091,0.7938931297709924,0.5810055865921788,0.6709677419354839,0.9755,1.0,1.0,1.0,1.0,0.9887,0.9285,0.8593,0.8884,0.9615
26,0.9937810945273632,0.99355640967669,0.9936687394007914,0.9185,0.6850828729281768,0.6927374301675978,0.688888888888889,0.9738,1.0,1.0,1.0,1.0,0.9876,0.893,0.8954,0.8942,0.9641
27,0.9933513635339193,0.9964955912276735,0.9949209932279909,0.9333,0.7947019867549668,0.6703910614525139,0.7272727272727273,0.968,1.0,1.0,1.0,1.0,0.99,0.9294,0.889,0.9074,0.9671
28,0.9934485485146278,0.9942346823423016,0.9938414599694899,0.9266,0.7034883720930233,0.6759776536312849,0.6894586894586895,0.9762,1.0,1.0,1.0,1.0,0.9879,0.899,0.8901,0.8944,0.9676
29,0.9933340865438933,0.9938955460094958,0.9936147369610668,0.923,0.6896551724137931,0.6703910614525139,0.6798866855524079,0.9627,1.0,1.0,1.0,1.0,0.9875,0.8943,0.8881,0.8912,0.9619
30,0.994789306751246,0.9927650915668098,0.9937761683829355,0.9253,0.6751269035532995,0.7430167597765364,0.7074468085106383,0.9656,1.0,1.0,1.0,1.0,0.9878,0.89,0.9119,0.9004,0.9636
31,0.9920152946468735,0.9971738638932851,0.9945878904047807,0.8991,0.8120300751879699,0.6033519553072626,0.6923076923076924,0.9484,1.0,1.0,1.0,1.0,0.9894,0.9347,0.8668,0.8956,0.9491
32,0.9927830401443392,0.995252091340719,0.9940160325166535,0.9035,0.732484076433121,0.6424581005586593,0.6845238095238095,0.9539,1.0,1.0,1.0,1.0,0.9883,0.9084,0.8792,0.8928,0.9525
33,0.9942431425668812,0.9957042731177933,0.9949731714205026,0.9132,0.7710843373493976,0.7150837988826816,0.7420289855072465,0.9724,1.0,1.0,1.0,1.0,0.9901,0.9218,0.9036,0.9123,0.9619
34,0.9928990081154193,0.9958173185620619,0.9943560221243932,0.8909,0.7581699346405228,0.6480446927374302,0.6987951807228915,0.9608,1.0,1.0,1.0,1.0,0.9889,0.917,0.8813,0.8977,0.9506
35,0.9936708860759493,0.9938955460094958,0.993783203345767,0.9172,0.6949152542372882,0.6871508379888268,0.6910112359550562,0.9596,1.0,1.0,1.0,1.0,0.9878,0.8962,0.8937,0.8949,0.9589
36,0.9927992799279928,0.9975130002260909,0.9951505582496899,0.9239,0.8394160583941606,0.6424581005586593,0.7278481012658228,0.9724,1.0,1.0,1.0,1.0,0.9905,0.9441,0.88,0.9077,0.9654
37,0.9937972256682079,0.9961564548948677,0.9949754417659347,0.9054,0.7848101265822784,0.6927374301675978,0.7359050445103857,0.9638,1.0,1.0,1.0,1.0,0.9901,0.9262,0.8963,0.9103,0.9564
38,0.993450028232637,0.9944607732308388,0.9939551437771876,0.9174,0.711764705882353,0.6759776536312849,0.6934097421203439,0.9753,1.0,1.0,1.0,1.0,0.9881,0.9017,0.8901,0.8958,0.9642
FINALTEST,0.9929840443589454,0.9921981004070556,0.9925909168033482,0.9378,0.6458333333333334,0.6666666666666666,0.6560846560846562,0.9755,0.6666666666666666,1.0,0.8,1.0,0.9855,0.7685,0.8863,0.8162,0.9711
