Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9970491029272899,0.9548948677368302,0.9755168033260191,0.9798,0.283609576427256,0.8603351955307262,0.4265927977839335,0.9803,0.16666666666666666,1.0,0.2857142857142857,1.0,0.953,0.4824,0.9384,0.5626,0.9867
1,0.9956170703575548,0.9758082749265204,0.9856131536880567,0.979,0.4040114613180516,0.7877094972067039,0.5340909090909092,0.9789,0.25,1.0,0.4,1.0,0.9721,0.5499,0.9212,0.6399,0.9859
2,0.996403295045829,0.9708342753787023,0.9834526195247639,0.9777,0.3654320987654321,0.8268156424581006,0.5068493150684932,0.9779,0.6666666666666666,1.0,0.8,1.0,0.968,0.6762,0.9325,0.7634,0.9852
3,0.9959728454723277,0.9785213655889667,0.9871699834635342,0.977,0.43243243243243246,0.8044692737430168,0.5625,0.9772,0.6666666666666666,1.0,0.8,1.0,0.9751,0.6984,0.9277,0.7832,0.9847
4,0.9940760993392572,0.9864345466877685,0.9902405810258739,0.9694,0.516260162601626,0.7094972067039106,0.5976470588235294,0.97,0.6666666666666666,1.0,0.8,1.0,0.9809,0.7257,0.8986,0.796,0.9798
5,0.9945590569031966,0.9918607280126611,0.993208059769074,0.965,0.6485148514851485,0.7318435754189944,0.6876640419947506,0.968,0.6666666666666666,1.0,0.8,1.0,0.9867,0.7699,0.9079,0.827,0.9777
6,0.9936551099025606,0.9914085462355867,0.9925305568130376,0.9597,0.6180904522613065,0.6871508379888268,0.6507936507936508,0.96,1.0,1.0,1.0,1.0,0.9854,0.8706,0.8929,0.8811,0.9733
7,0.9943097758051668,0.987678046574723,0.9909828163103274,0.9624,0.5443037974683544,0.7206703910614525,0.6201923076923076,0.9638,0.6666666666666666,1.0,0.8,1.0,0.9824,0.7351,0.9028,0.8037,0.9754
8,0.9946681792399319,0.9911824553470495,0.9929222580827813,0.9519,0.6285714285714286,0.7374301675977654,0.6786632390745502,0.9553,1.0,1.0,1.0,1.0,0.9862,0.8744,0.9095,0.8905,0.9691
9,0.9944400317712471,0.9907302735699751,0.9925816863922079,0.9466,0.6132075471698113,0.7262569832402235,0.6649616368286445,0.9495,1.0,1.0,1.0,1.0,0.9855,0.8692,0.9057,0.8858,0.9654
10,0.9941096511101042,0.9920868189011983,0.993097204933801,0.9593,0.6479591836734694,0.7094972067039106,0.6773333333333333,0.9621,0.6666666666666666,1.0,0.8,1.0,0.9865,0.7696,0.9005,0.8235,0.9738
11,0.9956561499771376,0.9846258195794709,0.9901102648630214,0.9708,0.5090252707581228,0.7877094972067039,0.618421052631579,0.9731,1.0,1.0,1.0,1.0,0.9807,0.8349,0.9241,0.8695,0.9813
12,0.9945454545454545,0.989373728238752,0.9919528505043635,0.9504,0.5822222222222222,0.7318435754189944,0.6485148514851485,0.9528,1.0,1.0,1.0,1.0,0.9843,0.8589,0.9071,0.8802,0.9677
13,0.994338127052429,0.9926520461225412,0.9934943712168354,0.9604,0.6683937823834197,0.7206703910614525,0.6935483870967742,0.9615,0.6666666666666666,1.0,0.8,1.0,0.9873,0.7765,0.9044,0.829,0.974
14,0.9926677946982515,0.9947999095636446,0.9937327084862516,0.9321,0.7125,0.6368715083798883,0.672566371681416,0.9361,1.0,1.0,1.0,1.0,0.9877,0.9017,0.8772,0.8888,0.9561
15,0.9943413309189678,0.9932172733438842,0.9937789842777965,0.9422,0.6825396825396826,0.7206703910614525,0.7010869565217391,0.9442,1.0,1.0,1.0,1.0,0.9878,0.8923,0.9046,0.8983,0.9621
16,0.9955504848830576,0.9864345466877685,0.9909715518709897,0.9577,0.5405405405405406,0.7821229050279329,0.639269406392694,0.9578,0.6666666666666666,1.0,0.8,1.0,0.9824,0.7343,0.9229,0.8101,0.9719
17,0.9944400317712471,0.9907302735699751,0.9925816863922079,0.9602,0.6161137440758294,0.7262569832402235,0.6666666666666666,0.9614,0.6666666666666666,1.0,0.8,1.0,0.9855,0.7591,0.9057,0.8197,0.9739
18,0.9933273015154942,0.9928781370110784,0.9931026684758029,0.9488,0.6557377049180327,0.6703910614525139,0.6629834254143645,0.9492,1.0,1.0,1.0,1.0,0.9865,0.883,0.8878,0.8854,0.966
19,0.9935615045747205,0.9943477277865702,0.9939544607039945,0.9486,0.7134502923976608,0.6815642458100558,0.6971428571428571,0.9512,0.6666666666666666,1.0,0.8,1.0,0.9881,0.7912,0.892,0.8304,0.9666
20,0.9940024895326468,0.992991182455347,0.9934965786348471,0.9504,0.6702127659574468,0.7039106145251397,0.6866485013623979,0.9532,1.0,1.0,1.0,1.0,0.9873,0.8881,0.899,0.8934,0.9679
21,0.9941276115189158,0.9951390458964504,0.994633071577877,0.9526,0.7470588235294118,0.7094972067039106,0.7277936962750716,0.9559,1.0,1.0,1.0,1.0,0.9895,0.9137,0.9015,0.9075,0.9695
22,0.9945646019703318,0.9928781370110784,0.9937206539571194,0.9528,0.6752577319587629,0.7318435754189944,0.7024128686327077,0.9537,1.0,1.0,1.0,1.0,0.9877,0.8899,0.9082,0.8987,0.9688
23,0.9953180312892543,0.9853040922450825,0.9902857467477135,0.9558,0.5149253731343284,0.770949720670391,0.6174496644295302,0.9579,1.0,1.0,1.0,1.0,0.9811,0.8367,0.9188,0.8692,0.9712
24,0.9958974358974358,0.9879041374632602,0.9918846830486352,0.9782,0.572,0.7988826815642458,0.6666666666666666,0.9796,1.0,1.0,1.0,1.0,0.9842,0.856,0.9289,0.8862,0.986
25,0.9951180744777475,0.9908433190142437,0.9929760960688796,0.9737,0.6267281105990783,0.7597765363128491,0.6868686868686867,0.9754,1.0,1.0,1.0,1.0,0.9863,0.8739,0.9169,0.8933,0.983
26,0.9965702526580542,0.9854171376893511,0.9909623145569261,0.971,0.5359712230215827,0.8324022346368715,0.6520787746170678,0.9705,1.0,1.0,1.0,1.0,0.9824,0.8442,0.9393,0.881,0.9805
27,0.9968688391511075,0.971738638932851,0.9841433396302021,0.9668,0.3781094527363184,0.8491620111731844,0.523235800344234,0.9687,1.0,1.0,1.0,1.0,0.9693,0.7917,0.9403,0.8358,0.9785
28,0.9957815528446016,0.9873389102419172,0.9915422603167395,0.9647,0.5590551181102362,0.7932960893854749,0.6558891454965358,0.964,1.0,1.0,1.0,1.0,0.9835,0.8516,0.9269,0.8825,0.9762
29,0.9970083994937291,0.9795387745873841,0.9881963847864516,0.9685,0.45808383233532934,0.8547486033519553,0.5964912280701755,0.9695,1.0,1.0,1.0,1.0,0.9771,0.8184,0.9448,0.8616,0.9793
30,0.9964265129682998,0.9771648202577436,0.9867016722789795,0.9568,0.4228571428571429,0.8268156424581006,0.5595463137996219,0.9618,1.0,1.0,1.0,1.0,0.9742,0.8064,0.9347,0.8487,0.9729
31,0.9953329538986909,0.9884693646846032,0.9918892859168509,0.9548,0.575,0.770949720670391,0.6587112171837709,0.9596,1.0,1.0,1.0,1.0,0.9842,0.8568,0.9198,0.8835,0.9715
32,0.9935491172476234,0.9924259552340041,0.9929872186404254,0.9338,0.6455026455026455,0.6815642458100558,0.6630434782608695,0.9349,1.0,1.0,1.0,1.0,0.9863,0.8797,0.8913,0.8853,0.9562
33,0.9941029711952823,0.9909563644585123,0.9925271739130435,0.9537,0.6135265700483091,0.7094972067039106,0.6580310880829014,0.955,1.0,1.0,1.0,1.0,0.9854,0.8692,0.9002,0.8835,0.9696
34,0.9947560419516643,0.9864345466877685,0.990577818140538,0.9586,0.525691699604743,0.7430167597765364,0.6157407407407407,0.9633,1.0,1.0,1.0,1.0,0.9816,0.8401,0.9098,0.8688,0.974
35,0.9931127921418087,0.9943477277865702,0.9937298762921538,0.9533,0.7023809523809523,0.659217877094972,0.6801152737752162,0.9585,1.0,1.0,1.0,1.0,0.9877,0.8985,0.8845,0.8913,0.9706
36,0.9932165065008479,0.9931042278996156,0.9931603640269063,0.9409,0.6611111111111111,0.664804469273743,0.6629526462395543,0.9476,1.0,1.0,1.0,1.0,0.9866,0.8848,0.886,0.8854,0.9628
37,0.9944375070950164,0.9902780917929007,0.9923534409515719,0.9374,0.6018518518518519,0.7262569832402235,0.6582278481012658,0.9391,1.0,1.0,1.0,1.0,0.985,0.8654,0.9055,0.8835,0.9588
38,0.9949874686716792,0.9873389102419172,0.9911484339536994,0.9538,0.5465587044534413,0.7541899441340782,0.6338028169014084,0.9588,1.0,1.0,1.0,1.0,0.9827,0.8472,0.9138,0.875,0.9709
