Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9984483170207686,0.9456251413068053,0.9713190896423594,0.985,0.25736434108527134,0.9273743016759777,0.40291262135922334,0.985,0.5,1.0,0.6666666666666666,1.0,0.9453,0.5853,0.9577,0.6803,0.99
1,0.9978680563780646,0.9524078679629211,0.9746081323384811,0.9854,0.2775862068965517,0.8994413407821229,0.42424242424242425,0.9854,0.5,1.0,0.6666666666666666,1.0,0.9514,0.5918,0.9506,0.6885,0.9903
2,0.9972118959107806,0.9703820936016279,0.9836140712730607,0.9836,0.37259615384615385,0.8659217877094972,0.5210084033613446,0.9838,0.6666666666666666,1.0,0.8,1.0,0.9683,0.6788,0.9454,0.7682,0.9891
3,0.9968789735290717,0.9749039113723716,0.9857689889695376,0.982,0.4075067024128686,0.8491620111731844,0.5507246376811594,0.9819,0.6666666666666666,1.0,0.8,1.0,0.9724,0.6904,0.9414,0.7788,0.988
4,0.9974352996036372,0.9672168211621072,0.9820936639118457,0.9848,0.3512304250559284,0.8770949720670391,0.5015974440894568,0.9846,1.0,1.0,1.0,1.0,0.9654,0.7829,0.9481,0.8279,0.9898
5,0.996110284864432,0.9842866832466651,0.9901631887189402,0.9821,0.5105633802816901,0.8100558659217877,0.6263498920086392,0.9819,1.0,1.0,1.0,1.0,0.9808,0.8356,0.9314,0.8722,0.988
6,0.9971148297749567,0.9767126384806692,0.9868082919307865,0.9848,0.42896935933147634,0.8603351955307262,0.5724907063197026,0.9846,0.6666666666666666,1.0,0.8,1.0,0.9744,0.6976,0.9457,0.7864,0.9898
7,0.9962025316455696,0.9786344110332353,0.9873403284671531,0.9856,0.437125748502994,0.8156424581005587,0.5692007797270956,0.9855,0.6666666666666666,1.0,0.8,1.0,0.9754,0.7,0.9314,0.7855,0.9904
8,0.9966574458275703,0.9775039565905494,0.9869877867823309,0.9854,0.4297994269340974,0.8379888268156425,0.5681818181818182,0.9852,1.0,1.0,1.0,1.0,0.9747,0.8088,0.9385,0.8517,0.9902
9,0.9950017039645576,0.9901650463486321,0.9925774831435208,0.9835,0.6081081081081081,0.7541899441340782,0.6733167082294265,0.9833,1.0,1.0,1.0,1.0,0.9855,0.8677,0.9148,0.8886,0.9889
10,0.995201096892139,0.9846258195794709,0.9898852142288896,0.9838,0.5036764705882353,0.7653631284916201,0.6075388026607539,0.9836,0.6666666666666666,1.0,0.8,1.0,0.9803,0.7218,0.9167,0.7991,0.9892
11,0.9959972552607502,0.9845127741352023,0.9902217168845935,0.9838,0.5124555160142349,0.8044692737430168,0.6260869565217391,0.9835,1.0,1.0,1.0,1.0,0.9809,0.8362,0.9297,0.8721,0.9891
12,0.9934492884571945,0.9943477277865702,0.9938983050847459,0.9776,0.7202380952380952,0.6759776536312849,0.6974063400576369,0.9775,0.4,1.0,0.5714285714285715,1.0,0.988,0.7046,0.8901,0.7542,0.9851
13,0.9958927552766685,0.9867736830205742,0.9913122480268014,0.9852,0.5521235521235521,0.7988826815642458,0.6529680365296804,0.9851,0.6666666666666666,1.0,0.8,1.0,0.9831,0.7382,0.9286,0.8148,0.9901
14,0.9957815528446016,0.9873389102419172,0.9915422603167395,0.9859,0.5612648221343873,0.7932960893854749,0.6574074074074074,0.9858,0.6666666666666666,1.0,0.8,1.0,0.9835,0.7412,0.9269,0.8163,0.9906
15,0.9942170314094568,0.9911824553470495,0.9926974242853099,0.9849,0.6213592233009708,0.7150837988826816,0.664935064935065,0.9847,1.0,1.0,1.0,1.0,0.9857,0.8719,0.9021,0.8859,0.9899
16,0.9950034067681126,0.9905041826814379,0.9927486970314978,0.9858,0.6164383561643836,0.7541899441340782,0.678391959798995,0.9857,1.0,1.0,1.0,1.0,0.9858,0.8705,0.9149,0.8904,0.9905
17,0.9943304229504479,0.9912955007913181,0.9928106425134448,0.9768,0.6262135922330098,0.7206703910614525,0.67012987012987,0.9764,1.0,1.0,1.0,1.0,0.9859,0.8735,0.904,0.8876,0.9844
18,0.9950090744101633,0.9916346371241239,0.9933189899218661,0.9765,0.645933014354067,0.7541899441340782,0.6958762886597938,0.976,1.0,1.0,1.0,1.0,0.9869,0.8803,0.9153,0.8964,0.9842
19,0.9929927667269439,0.9932172733438842,0.9931050073471233,0.9836,0.6647727272727273,0.6536312849162011,0.6591549295774648,0.9834,0.6666666666666666,1.0,0.8,1.0,0.9865,0.7748,0.8823,0.8174,0.989
20,0.9935694945848376,0.9955912276735247,0.9945793337097685,0.9836,0.7577639751552795,0.6815642458100558,0.7176470588235294,0.9823,1.0,1.0,1.0,1.0,0.9894,0.9171,0.8924,0.9041,0.9886
21,0.9938983050847457,0.9943477277865702,0.994122965641953,0.9871,0.7183908045977011,0.6983240223463687,0.7082152974504248,0.987,0.6666666666666666,1.0,0.8,1.0,0.9885,0.793,0.8976,0.8341,0.9914
22,0.994670597573421,0.9916346371241239,0.9931502971978489,0.9875,0.6439024390243903,0.7374301675977654,0.6875,0.9875,0.6666666666666666,1.0,0.8,1.0,0.9866,0.7684,0.9097,0.8269,0.9917
