Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9980630165289256,0.8737282387519782,0.9317661241711873,0.9704,0.13423351866560762,0.9234972677595629,0.23439667128987512,0.9712,0.20588235294117646,0.875,0.33333333333333337,0.9993,0.8747,0.4461,0.8907,0.4998,0.9803
1,0.9972319171982188,0.9366945512095862,0.9660157388516467,0.9734,0.22708039492242596,0.8797814207650273,0.3609865470852018,0.9736,0.3684210526315789,0.875,0.5185185185185185,0.9918,0.9355,0.5309,0.8972,0.6152,0.9796
2,0.9940883273443839,0.9694777300474791,0.981628798718022,0.9576,0.3341645885286783,0.73224043715847,0.4589041095890411,0.9621,0.6666666666666666,0.75,0.7058823529411765,0.8809,0.9645,0.665,0.8172,0.7155,0.9335
3,0.9965459742734636,0.9458512321953425,0.970537060665816,0.9635,0.246422893481717,0.8469945355191257,0.38177339901477836,0.9628,0.5833333333333334,0.875,0.7000000000000001,0.9933,0.9438,0.6088,0.8893,0.6841,0.9732
4,0.9968073785030153,0.9529730951842641,0.9743975033231232,0.9713,0.2759226713532513,0.8579234972677595,0.4175531914893617,0.9717,0.5454545454545454,0.75,0.631578947368421,0.8837,0.9509,0.6061,0.8536,0.6745,0.9422
5,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
6,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
7,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
8,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9938827331486612,0.97343432059688,0.9835522558537978,0.9606,0.3633879781420765,0.726775956284153,0.48451730418943534,0.9704,0.5714285714285714,0.5,0.5333333333333333,0.7627,0.968,0.6429,0.7334,0.6671,0.8979
