Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.99691614280631,0.9501469590775492,0.9729698443016728,0.9701,0.26475548060708265,0.8579234972677595,0.404639175257732,0.9693,0.5384615384615384,0.875,0.6666666666666667,0.9738,0.9482,0.6,0.8944,0.6814,0.9711
1,0.9974007561436673,0.9543296405154872,0.9753899480069325,0.9752,0.2879858657243816,0.8907103825136612,0.43524699599465955,0.9751,0.8571428571428571,0.75,0.7999999999999999,0.9885,0.9529,0.7142,0.865,0.7369,0.9796
2,0.9980190664850811,0.9112593262491522,0.9526679666725759,0.9687,0.17560462670872765,0.912568306010929,0.2945326278659612,0.9673,0.7777777777777778,0.875,0.823529411764706,0.9912,0.9113,0.6505,0.8996,0.6902,0.9757
3,0.9948577305450805,0.9841736378023965,0.9894868443484685,0.9748,0.5054151624548736,0.7650273224043715,0.608695652173913,0.9749,0.6666666666666666,0.75,0.7058823529411765,0.9936,0.9795,0.7223,0.8331,0.768,0.9811
4,0.9961075725406936,0.954668776848293,0.9749480489494344,0.9726,0.27636363636363637,0.8306010928961749,0.4147339699863574,0.9727,0.6666666666666666,0.75,0.7058823529411765,0.9932,0.952,0.6464,0.8451,0.6985,0.9795
5,0.9956901572510192,0.9663124576079584,0.9807813665308931,0.971,0.3325842696629214,0.8087431693989071,0.47133757961783446,0.9708,0.8571428571428571,0.75,0.7999999999999999,0.9874,0.9629,0.7285,0.8417,0.7507,0.9764
6,0.0,0.0,0.0,0.7025,0.02025008299214341,1.0,0.03969631236442516,0.7246,0.0,0.0,0.0,0.8578,0.0203,0.0068,0.3333,0.0132,0.7616
7,0.9788646674781454,1.0,0.9893194654140804,0.7045,0.0,0.0,0.0,0.7239,0.0,0.0,0.0,0.8661,0.9789,0.3263,0.3333,0.3298,0.7648
8,0.0,0.0,0.0,0.7035,0.02025008299214341,1.0,0.03969631236442516,0.7241,0.0,0.0,0.0,0.8626,0.0203,0.0068,0.3333,0.0132,0.7634
9,0.0,0.0,0.0,0.7034,0.0,0.0,0.0,0.7234,0.0008852495297111873,1.0,0.0017689331122166944,0.863,0.0009,0.0003,0.3333,0.0006,0.7633
10,0.9788646674781454,1.0,0.9893194654140804,0.7015,0.0,0.0,0.0,0.7231,0.0,0.0,0.0,0.8625,0.9789,0.3263,0.3333,0.3298,0.7624
11,0.0,0.0,0.0,0.7009,0.0,0.0,0.0,0.7226,0.0008852495297111873,1.0,0.0017689331122166944,0.8628,0.0009,0.0003,0.3333,0.0006,0.7621
12,0.0,0.0,0.0,0.7003,0.0,0.0,0.0,0.7221,0.0008852495297111873,1.0,0.0017689331122166944,0.8629,0.0009,0.0003,0.3333,0.0006,0.7618
13,0.9788646674781454,1.0,0.9893194654140804,0.6994,0.0,0.0,0.0,0.7219,0.0,0.0,0.0,0.8631,0.9789,0.3263,0.3333,0.3298,0.7614
14,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.7213,0.0008852495297111873,1.0,0.0017689331122166944,0.8636,0.0009,0.0003,0.3333,0.0006,0.7613
15,0.9788646674781454,1.0,0.9893194654140804,0.6979,0.0,0.0,0.0,0.7212,0.0,0.0,0.0,0.8638,0.9789,0.3263,0.3333,0.3298,0.761
16,0.0,0.0,0.0,0.697,0.0,0.0,0.0,0.7204,0.0008852495297111873,1.0,0.0017689331122166944,0.8643,0.0009,0.0003,0.3333,0.0006,0.7606
17,0.9788646674781454,1.0,0.9893194654140804,0.6968,0.0,0.0,0.0,0.7201,0.0,0.0,0.0,0.865,0.9789,0.3263,0.3333,0.3298,0.7606
18,0.0,0.0,0.0,0.6956,0.02025008299214341,1.0,0.03969631236442516,0.7196,0.0,0.0,0.0,0.8655,0.0203,0.0068,0.3333,0.0132,0.7603
19,0.9788646674781454,1.0,0.9893194654140804,0.6948,0.0,0.0,0.0,0.719,0.0,0.0,0.0,0.8661,0.9789,0.3263,0.3333,0.3298,0.76
20,0.0,0.0,0.0,0.6934,0.0,0.0,0.0,0.7185,0.0008852495297111873,1.0,0.0017689331122166944,0.8669,0.0009,0.0003,0.3333,0.0006,0.7596
21,0.0,0.0,0.0,0.6938,0.0,0.0,0.0,0.718,0.0008852495297111873,1.0,0.0017689331122166944,0.8676,0.0009,0.0003,0.3333,0.0006,0.7598
22,0.0,0.0,0.0,0.692,0.02025008299214341,1.0,0.03969631236442516,0.7171,0.0,0.0,0.0,0.8682,0.0203,0.0068,0.3333,0.0132,0.7591
23,0.0,0.0,0.0,0.6795,0.02025008299214341,1.0,0.03969631236442516,0.7166,0.0,0.0,0.0,0.869,0.0203,0.0068,0.3333,0.0132,0.755
FINALTEST,0.9932824775133782,0.9862084557992313,0.9897328265925464,0.9787,0.5102880658436214,0.6775956284153005,0.5821596244131455,0.9782,0.7272727272727273,1.0,0.8421052631578948,0.9998,0.98,0.7436,0.8879,0.8047,0.9856
