Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9970322886989553,0.9494686864119376,0.9726693688477128,0.9665,0.264026402640264,0.8743169398907104,0.4055766793409379,0.9704,0.8571428571428571,0.75,0.7999999999999999,0.8902,0.9478,0.7061,0.8579,0.7261,0.9424
1,0.9953046266605589,0.9824779561383676,0.9888496984867449,0.9716,0.48322147651006714,0.7868852459016393,0.5987525987525988,0.9744,0.8571428571428571,0.75,0.7999999999999999,0.9383,0.9783,0.7786,0.8398,0.7959,0.9615
2,0.9962945808244558,0.9726430024869998,0.9843267360713877,0.975,0.38578680203045684,0.8306010928961749,0.5268630849220104,0.9749,0.8571428571428571,0.75,0.7999999999999999,0.9809,0.9696,0.7464,0.8511,0.7704,0.977
3,0.9963982804693854,0.9694777300474791,0.9827536813155332,0.9778,0.36619718309859156,0.8524590163934426,0.5123152709359606,0.9802,1.0,0.5,0.6666666666666666,0.9794,0.9667,0.7875,0.774,0.7206,0.9791
4,0.9964618469159099,0.9551209586253674,0.9753535353535352,0.9589,0.2833935018050541,0.8579234972677595,0.4260515603799186,0.9698,1.0,0.5,0.6666666666666666,0.7237,0.9527,0.76,0.771,0.6894,0.8841
5,0.9969440526563235,0.9588514582862311,0.9775267949752218,0.9591,0.3067961165048544,0.8633879781420765,0.45272206303724927,0.9582,0.42857142857142855,0.75,0.5454545454545454,0.9912,0.9567,0.5774,0.8574,0.6586,0.9695
6,0.9958448753462604,0.975356093149446,0.9854940034266134,0.9507,0.40821917808219177,0.8142076502732241,0.5437956204379562,0.9545,0.75,0.75,0.75,0.9475,0.9719,0.718,0.8465,0.7598,0.9509
7,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
8,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
9,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
10,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
11,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9942902820600662,0.9842866832466651,0.9892631937737886,0.9687,0.5,0.7377049180327869,0.5960264900662251,0.9785,0.6,0.75,0.6666666666666665,0.8921,0.9791,0.6981,0.824,0.7507,0.9464
