Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9971553869858955,0.9510513226316979,0.9735578313950123,0.9751,0.27104377104377103,0.8797814207650273,0.41441441441441434,0.9749,1.0,0.75,0.8571428571428571,0.9737,0.9494,0.7561,0.8603,0.7484,0.9746
1,0.9959705272852867,0.9779561383676237,0.986881131644992,0.9795,0.436046511627907,0.819672131147541,0.5692599620493359,0.9816,0.8571428571428571,0.75,0.7999999999999999,0.9954,0.9745,0.7631,0.8492,0.7854,0.9855
2,0.9950862758541881,0.9843997286909337,0.9897141558220152,0.9746,0.5071428571428571,0.7759562841530054,0.6133909287257019,0.9736,1.0,0.75,0.8571428571428571,0.9946,0.98,0.8341,0.8368,0.8201,0.981
3,0.9964302164900968,0.9781822292561609,0.9872219053051912,0.9758,0.4438040345821326,0.8415300546448088,0.5811320754716981,0.9752,1.0,0.75,0.8571428571428571,0.9994,0.9752,0.8134,0.8566,0.8085,0.9835
4,0.9942045454545455,0.9890345919059462,0.9916128301031396,0.9737,0.5818965517241379,0.7377049180327869,0.6506024096385541,0.9746,1.0,0.625,0.7692307692307693,0.9986,0.9836,0.8587,0.7839,0.8038,0.9823
0,0.997208399077558,0.9287813701107845,0.9617793386011121,0.9737,0.20506329113924052,0.8852459016393442,0.3329907502569373,0.9769,0.75,0.75,0.75,0.9831,0.9277,0.6508,0.8547,0.6816,0.9779
1,0.9976924945348554,0.9286683246665159,0.9619437939110069,0.9751,0.20927318295739347,0.912568306010929,0.34046890927624873,0.9771,1.0,0.625,0.7692307692307693,0.9991,0.9281,0.7357,0.8221,0.6905,0.9838
2,0.9936615732880588,0.9924259552340041,0.9930433798993269,0.9719,0.6598984771573604,0.7103825136612022,0.6842105263157895,0.9711,1.0,0.625,0.7692307692307693,0.9954,0.9864,0.8845,0.7759,0.8155,0.9795
3,0.9944140446876425,0.9860954103549627,0.9902372573504371,0.9762,0.5269230769230769,0.7486338797814208,0.618510158013544,0.9789,1.0,0.625,0.7692307692307693,0.9987,0.981,0.8404,0.7866,0.7927,0.9846
4,0.9957397812320092,0.977617002034818,0.9865951742627346,0.9673,0.42939481268011526,0.8142076502732241,0.5622641509433962,0.9742,1.0,0.625,0.7692307692307693,0.9864,0.974,0.8084,0.8056,0.7727,0.976
5,0.9948489010989011,0.9824779561383676,0.9886247298373336,0.9637,0.4781144781144781,0.7759562841530054,0.5916666666666667,0.9718,1.0,0.5,0.6666666666666666,0.9568,0.9779,0.8243,0.7528,0.749,0.9641
6,0.9947632058287796,0.9877910920189916,0.99126488939308,0.9629,0.5645161290322581,0.7650273224043715,0.6496519721577727,0.9745,1.0,0.625,0.7692307692307693,0.9766,0.983,0.8531,0.7926,0.8034,0.9713
7,0.9943188274059765,0.9892606827944834,0.9917833059443533,0.9629,0.5862068965517241,0.7431693989071039,0.655421686746988,0.9722,1.0,0.5,0.6666666666666666,0.959,0.9838,0.8602,0.7441,0.7713,0.9647
8,0.9938768567864837,0.9908433190142437,0.9923577696009057,0.9648,0.6179245283018868,0.7158469945355191,0.6632911392405064,0.9795,1.0,0.75,0.8571428571428571,0.9763,0.9851,0.8706,0.8189,0.8376,0.9735
9,0.993314447592068,0.9909563644585123,0.9921340048667309,0.9504,0.6116504854368932,0.6885245901639344,0.6478149100257069,0.9812,1.0,0.75,0.8571428571428571,0.9604,0.9846,0.8683,0.8098,0.8324,0.964
10,0.9915502478593962,0.9949129550079132,0.9932287552195013,0.952,0.7133757961783439,0.6120218579234973,0.6588235294117647,0.9738,1.0,0.5,0.6666666666666666,0.9654,0.9867,0.9016,0.7023,0.7729,0.9638
