Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9963662790697675,0.9299118245534705,0.9619927493860368,0.97,0.20051746442432083,0.8469945355191257,0.32426778242677823,0.9707,0.75,0.75,0.75,0.995,0.9281,0.649,0.8423,0.6788,0.9786
1,0.9970889613414066,0.9680081392719874,0.9823333715727889,0.9684,0.3597285067873303,0.8688524590163934,0.5088,0.9722,0.8571428571428571,0.75,0.7999999999999999,0.925,0.9658,0.738,0.8623,0.7637,0.9552
2,0.9948489010989011,0.9824779561383676,0.9886247298373336,0.9777,0.4778156996587031,0.7650273224043715,0.588235294117647,0.9775,0.75,0.75,0.75,0.9998,0.9779,0.7409,0.8325,0.7756,0.985
3,0.9977583765927324,0.9560253221795162,0.9764461378593696,0.9822,0.30018083182640143,0.907103825136612,0.45108695652173914,0.9828,0.75,0.75,0.75,0.9996,0.9549,0.6826,0.871,0.7258,0.9882
4,0.9949535497190045,0.98066922903007,0.9877597495018502,0.9757,0.4563106796116505,0.7704918032786885,0.573170731707317,0.9755,0.6666666666666666,0.75,0.7058823529411765,0.9893,0.9762,0.706,0.8337,0.7556,0.9801
5,0.9941453334863966,0.9789735473660411,0.9865011106681096,0.971,0.4200626959247649,0.73224043715847,0.5338645418326693,0.9733,0.8571428571428571,0.75,0.7999999999999999,0.8864,0.9738,0.7571,0.8204,0.7735,0.9435
6,0.9960824979836387,0.9772778657020122,0.9865905848787446,0.9796,0.4318181818181818,0.8306010928961749,0.5682242990654205,0.9803,0.8333333333333334,0.625,0.7142857142857143,0.9733,0.974,0.7537,0.811,0.7564,0.9777
7,0.9949702789208962,0.9839475469138593,0.9894282141639195,0.9794,0.501779359430605,0.7704918032786885,0.6077586206896551,0.9794,0.75,0.75,0.75,0.9945,0.9794,0.7489,0.8348,0.7824,0.9845
8,0.9934188131169863,0.9897128645715577,0.9915623761254884,0.9807,0.5879629629629629,0.6939890710382514,0.6365914786967418,0.9803,0.75,0.75,0.75,0.9952,0.9835,0.7771,0.8112,0.7927,0.9854
9,0.9916600924151922,0.994686864119376,0.9931711721880467,0.9731,0.7207792207792207,0.6065573770491803,0.658753709198813,0.9726,0.6,0.75,0.6666666666666665,0.9845,0.9866,0.7708,0.7837,0.7729,0.9767
10,0.9944273854202206,0.9884693646846032,0.9914394240036284,0.9802,0.576271186440678,0.7431693989071039,0.649164677804296,0.9804,0.75,0.75,0.75,0.9918,0.9833,0.7736,0.8272,0.7969,0.9841
11,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
22,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
23,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
24,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
25,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
26,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
27,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
28,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
29,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
30,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9930917327293318,0.9912955007913181,0.9921928038017652,0.9812,0.6231155778894473,0.6775956284153005,0.649214659685864,0.9811,0.625,0.625,0.625,0.9979,0.9846,0.7471,0.7646,0.7555,0.9867
