Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9968335160151017,0.925276961338458,0.9597232807644955,0.966,0.19458128078817735,0.8633879781420765,0.31758793969849247,0.9656,0.42857142857142855,0.75,0.5454545454545454,0.9854,0.9239,0.54,0.8462,0.6076,0.9723
1,0.9964332421828558,0.9474338684151029,0.9713159877151301,0.9704,0.25080906148867316,0.8469945355191257,0.387016229712859,0.9706,0.75,0.75,0.75,0.977,0.9452,0.6657,0.8481,0.7028,0.9726
2,0.9967266775777414,0.9638254578340493,0.9800000000000001,0.9693,0.3277310924369748,0.8524590163934426,0.4734446130500758,0.969,0.8571428571428571,0.75,0.7999999999999999,0.9939,0.9614,0.7272,0.8554,0.7511,0.9774
3,0.9964244521337947,0.9765995930364006,0.9864124229276091,0.9656,0.425,0.8360655737704918,0.56353591160221,0.965,0.8571428571428571,0.75,0.7999999999999999,0.9935,0.9736,0.7595,0.8542,0.7833,0.9747
4,0.9958568304753136,0.9781822292561609,0.9869404049044767,0.9639,0.43823529411764706,0.8142076502732241,0.5697896749521989,0.9636,0.75,0.75,0.75,0.9916,0.9747,0.728,0.8475,0.7689,0.973
5,0.9965229485396384,0.9719647298213882,0.9840906489641753,0.9567,0.3865336658354115,0.8469945355191257,0.5308219178082192,0.9565,0.75,0.75,0.75,0.9977,0.9692,0.711,0.8563,0.755,0.9703
6,0.9962007828689846,0.9781822292561609,0.987109285877253,0.9595,0.4418604651162791,0.8306010928961749,0.5768500948766604,0.9592,0.8571428571428571,0.75,0.7999999999999999,0.9985,0.975,0.7651,0.8529,0.788,0.9724
7,0.9928555227942845,0.9897128645715577,0.9912817028985508,0.9275,0.5754716981132075,0.6666666666666666,0.6177215189873418,0.9295,0.8571428571428571,0.75,0.7999999999999999,0.9604,0.983,0.8085,0.8021,0.803,0.9392
8,0.9947614166951372,0.9874519556861858,0.9910932092812164,0.9523,0.5582329317269076,0.7595628415300546,0.6435185185185184,0.9531,0.8571428571428571,0.75,0.7999999999999999,0.9716,0.9826,0.8034,0.8323,0.8115,0.959
9,0.9940969463049154,0.9899389554600949,0.9920135938827528,0.9464,0.6045454545454545,0.726775956284153,0.6600496277915632,0.9466,0.75,0.75,0.75,0.9918,0.9844,0.7829,0.8222,0.8007,0.9616
10,0.9932072908411638,0.9917476825683925,0.9924769500537362,0.931,0.6345177664974619,0.6830601092896175,0.6578947368421053,0.9327,0.8571428571428571,0.75,0.7999999999999999,0.9664,0.9853,0.8283,0.8083,0.8168,0.9434
11,0.9940982862331177,0.9901650463486321,0.9921277680240131,0.9403,0.6045454545454545,0.726775956284153,0.6600496277915632,0.9412,1.0,0.75,0.8571428571428571,0.9803,0.9846,0.8662,0.8223,0.8364,0.9539
12,0.9938706015891033,0.9898259100158263,0.9918441323062982,0.949,0.5981735159817352,0.7158469945355191,0.6517412935323382,0.9495,0.75,0.75,0.75,0.9616,0.9841,0.7807,0.8186,0.7979,0.9533
13,0.9960815950213208,0.977051774813475,0.9864749186783085,0.9488,0.42776203966005666,0.825136612021858,0.5634328358208955,0.9489,0.8571428571428571,0.75,0.7999999999999999,0.9527,0.9738,0.7603,0.8507,0.7833,0.9501
14,0.9935249346813586,0.9886954555731404,0.9911043118590288,0.9323,0.5638766519823789,0.6994535519125683,0.6243902439024391,0.9357,0.8571428571428571,0.75,0.7999999999999999,0.9106,0.9826,0.8048,0.8127,0.8052,0.9262
15,0.9946505804689278,0.9879041374632602,0.9912658802177858,0.9466,0.5655737704918032,0.7540983606557377,0.6463700234192037,0.9466,0.8571428571428571,0.75,0.7999999999999999,0.9426,0.983,0.8058,0.8307,0.8125,0.9453
16,0.9939834260415484,0.9898259100158263,0.9919003115264797,0.9333,0.5972850678733032,0.7213114754098361,0.6534653465346535,0.9354,0.8571428571428571,0.75,0.7999999999999999,0.8956,0.9842,0.8161,0.8204,0.8151,0.9214
17,0.995418098510882,0.982364910694099,0.9888484296768321,0.9536,0.48,0.7868852459016393,0.5962732919254659,0.9528,0.8571428571428571,0.75,0.7999999999999999,0.9919,0.9782,0.7775,0.8398,0.795,0.9661
18,0.9940982862331177,0.9901650463486321,0.9921277680240131,0.9206,0.6073059360730594,0.726775956284153,0.6616915422885573,0.9242,0.8571428571428571,0.75,0.7999999999999999,0.878,0.9846,0.8195,0.8223,0.8179,0.9076
19,0.9958649207443143,0.9801040018087271,0.9879216043755698,0.942,0.4582043343653251,0.8087431693989071,0.5849802371541503,0.943,0.75,0.75,0.75,0.9197,0.9764,0.7347,0.8463,0.7743,0.9349
20,0.9945404913557779,0.9884693646846032,0.9914956344256718,0.943,0.5756302521008403,0.7486338797814208,0.65083135391924,0.9444,0.8571428571428571,0.75,0.7999999999999999,0.9074,0.9834,0.8091,0.829,0.8141,0.9316
21,0.9965305886434601,0.9741125932624916,0.9851940776310525,0.9635,0.4010416666666667,0.8415300546448088,0.54320987654321,0.9605,1.0,0.75,0.8571428571428571,0.9489,0.9712,0.7992,0.8552,0.7952,0.9576
