Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9960469573550551,0.9399728690933755,0.9671978597185066,0.9491,0.24311183144246354,0.819672131147541,0.375,0.9492,0.08333333333333333,0.75,0.15,0.9293,0.9374,0.4408,0.8365,0.4974,0.9425
1,0.9961653684841222,0.9397467782048383,0.9671339654470361,0.9672,0.2236842105263158,0.8360655737704918,0.35294117647058826,0.9675,0.75,0.75,0.75,0.9937,0.9375,0.6566,0.8419,0.69,0.9761
2,0.9953873447664104,0.9513904589645037,0.9728917403618287,0.9669,0.25217391304347825,0.7923497267759563,0.3825857519788917,0.9659,0.8571428571428571,0.75,0.7999999999999999,0.9953,0.948,0.7016,0.8312,0.7185,0.976
3,0.9935260115606936,0.9715125480443139,0.9823959762231368,0.959,0.3395225464190981,0.6994535519125683,0.4571428571428571,0.9583,0.7,0.875,0.7777777777777777,0.9987,0.9659,0.6777,0.8487,0.7391,0.972
4,0.9970992558960777,0.8937372823875198,0.9425931445603577,0.9636,0.14623069936421434,0.8797814207650273,0.250778816199377,0.9637,0.8571428571428571,0.75,0.7999999999999999,0.998,0.8933,0.6668,0.8412,0.6645,0.9751
5,0.9925976540257374,0.9853040922450825,0.9889374255403642,0.9515,0.4819277108433735,0.6557377049180327,0.5555555555555555,0.9504,0.8571428571428571,0.75,0.7999999999999999,0.9956,0.9784,0.7772,0.797,0.7815,0.9658
6,0.9978955675391293,0.8576757856658377,0.9224876892212293,0.9594,0.11806043569922699,0.9180327868852459,0.2092154420921544,0.96,0.5454545454545454,0.75,0.631578947368421,0.9967,0.8588,0.5538,0.8419,0.5878,0.972
7,0.9910643592353806,0.9905041826814379,0.9907841917792729,0.9518,0.5638297872340425,0.5792349726775956,0.5714285714285714,0.9513,0.75,0.75,0.75,0.9974,0.982,0.7683,0.7732,0.7707,0.9669
8,0.9913871260199456,0.9889215464616776,0.9901528013582344,0.9542,0.529126213592233,0.5956284153005464,0.5604113110539846,0.9542,0.8571428571428571,0.75,0.7999999999999999,0.9872,0.9807,0.7926,0.7782,0.7835,0.9652
9,0.9955614203454894,0.938164141985078,0.9660109416831568,0.9505,0.21294964028776978,0.8087431693989071,0.33712984054669703,0.9507,1.0,0.75,0.8571428571428571,0.9949,0.9354,0.7362,0.8323,0.7201,0.9654
10,0.9936723423838012,0.9763735021478634,0.9849469722887444,0.9559,0.3857566765578635,0.7103825136612022,0.5,0.956,0.75,0.75,0.75,0.9913,0.9708,0.7098,0.8123,0.745,0.9677
11,0.9953292853806632,0.9635993669455121,0.9792073520964962,0.9538,0.3090128755364807,0.7868852459016393,0.4437596302003082,0.9545,0.8571428571428571,0.75,0.7999999999999999,0.9637,0.9598,0.7205,0.8335,0.741,0.9573
12,0.9962165996689525,0.9525209134071897,0.9738788719371244,0.9692,0.26573426573426573,0.8306010928961749,0.4026490066225165,0.9694,0.8571428571428571,0.75,0.7999999999999999,0.9651,0.9499,0.7064,0.8444,0.7255,0.9679
13,0.9948090898604222,0.9749039113723716,0.9847559234941478,0.9505,0.3878116343490305,0.7650273224043715,0.5147058823529411,0.9511,0.8571428571428571,0.75,0.7999999999999999,0.974,0.9705,0.7466,0.83,0.7665,0.9585
14,0.994804894943431,0.9741125932624916,0.9843500114233493,0.9598,0.3804347826086957,0.7650273224043715,0.5081669691470054,0.9584,0.8571428571428571,0.75,0.7999999999999999,0.9991,0.9697,0.7441,0.8297,0.7642,0.9724
15,0.9907428313389027,0.9920868189011983,0.9914143696339811,0.948,0.5988372093023255,0.5628415300546448,0.5802816901408451,0.9483,0.8571428571428571,0.75,0.7999999999999999,0.9892,0.9832,0.8156,0.7683,0.7906,0.9618
16,0.9933233567399563,0.9754691385937146,0.9843152911652312,0.9544,0.37026239067055394,0.6939890710382514,0.4828897338403042,0.9543,0.8571428571428571,0.75,0.7999999999999999,0.9881,0.9696,0.7402,0.8065,0.7557,0.9656
17,0.9907344632768361,0.9911824553470495,0.9909584086799277,0.9536,0.5722222222222222,0.5628415300546448,0.5674931129476584,0.9563,0.8571428571428571,0.75,0.7999999999999999,0.9818,0.9823,0.8067,0.768,0.7862,0.9639
18,0.9940291652313699,0.9786344110332353,0.9862717174594133,0.945,0.411214953271028,0.7213114754098361,0.5238095238095238,0.944,0.8571428571428571,0.75,0.7999999999999999,0.989,0.9732,0.7541,0.8166,0.77,0.9593
19,0.9954534856609932,0.9652950486095411,0.9801423324150598,0.9574,0.32229580573951433,0.7978142076502732,0.4591194968553459,0.9569,1.0,0.75,0.8571428571428571,0.9994,0.9617,0.7726,0.8377,0.7655,0.9712
20,0.9944579147904399,0.9736604114854172,0.9839492774318843,0.9549,0.37228260869565216,0.7486338797814208,0.49727767695099817,0.9554,0.75,0.75,0.75,0.99,0.9689,0.7056,0.8241,0.7437,0.9668
21,0.9928147810218978,0.9840605923581279,0.9884183036221188,0.9543,0.46564885496183206,0.6666666666666666,0.548314606741573,0.9539,0.8571428571428571,0.75,0.7999999999999999,0.9995,0.9774,0.7719,0.8002,0.7789,0.9692
22,0.9929207581639644,0.9830431833597106,0.98795728243581,0.9589,0.4765625,0.6666666666666666,0.5558086560364465,0.9594,0.30434782608695654,0.875,0.4516129032258065,0.9894,0.9765,0.5913,0.8416,0.6651,0.9692
23,0.9952458256029685,0.9702690481573593,0.98259874069834,0.9565,0.3538083538083538,0.7868852459016393,0.48813559322033895,0.9576,1.0,0.75,0.8571428571428571,0.999,0.9664,0.783,0.8357,0.776,0.9711
24,0.9916421956177999,0.9925390006782727,0.9920903954802259,0.949,0.6306818181818182,0.6065573770491803,0.6183844011142061,0.9477,0.8571428571428571,0.75,0.7999999999999999,0.9985,0.9845,0.8265,0.783,0.8035,0.9651
25,0.9914104882459313,0.9916346371241239,0.9915225500169549,0.9533,0.5989010989010989,0.5956284153005464,0.5972602739726026,0.9519,0.8571428571428571,0.75,0.7999999999999999,0.9985,0.9834,0.8158,0.7791,0.7963,0.9679
26,0.9897568662764521,0.9940085914537644,0.9918781725888326,0.9437,0.6438356164383562,0.5136612021857924,0.5714285714285715,0.9495,0.8571428571428571,0.75,0.7999999999999999,0.9815,0.9841,0.8302,0.7526,0.7878,0.9582
27,0.9922788690814125,0.9879041374632602,0.9900866708208237,0.9492,0.5223214285714286,0.639344262295082,0.574938574938575,0.944,1.0,0.75,0.8571428571428571,0.9954,0.9806,0.8382,0.7924,0.8074,0.9629
28,0.9916251697600724,0.9905041826814379,0.9910643592353806,0.9486,0.5873015873015873,0.6065573770491803,0.5967741935483871,0.9514,0.5,0.75,0.6,0.9837,0.9825,0.693,0.7824,0.7293,0.9612
29,0.9914192164389748,0.9926520461225412,0.9920352482630063,0.9374,0.6264367816091954,0.5956284153005464,0.6106442577030812,0.9373,1.0,0.75,0.8571428571428571,0.9878,0.9844,0.8726,0.7794,0.8199,0.9542
30,0.9914036873656826,0.9908433190142437,0.9911234239837168,0.9437,0.5767195767195767,0.5956284153005464,0.586021505376344,0.9551,0.8571428571428571,0.75,0.7999999999999999,0.9975,0.9826,0.8084,0.7788,0.7924,0.9654
31,0.9921555252387448,0.9865475921320371,0.9893436118353929,0.9555,0.49572649572649574,0.6338797814207651,0.5563549160671464,0.9505,0.8571428571428571,0.75,0.7999999999999999,0.9983,0.9792,0.7817,0.7901,0.7819,0.9681
32,0.9864925206519313,0.9989825910015826,0.9926982700516739,0.898,0.8888888888888888,0.34972677595628415,0.5019607843137255,0.9305,0.8571428571428571,0.75,0.7999999999999999,0.9487,0.9856,0.9108,0.6996,0.7649,0.9257
33,0.9958977965307079,0.96054713995026,0.9779030958683393,0.9618,0.30120481927710846,0.819672131147541,0.4405286343612335,0.962,0.8571428571428571,0.75,0.7999999999999999,0.9975,0.9575,0.7181,0.8434,0.7395,0.9738
34,0.9922928709055877,0.9897128645715577,0.9910011885222707,0.9512,0.5652173913043478,0.639344262295082,0.6000000000000001,0.9493,0.8571428571428571,0.75,0.7999999999999999,0.9988,0.9824,0.8049,0.793,0.797,0.9665
35,0.9957997899894995,0.9648428668324667,0.9800769363265776,0.9549,0.3224400871459695,0.8087431693989071,0.46105919003115264,0.9534,0.8571428571428571,0.75,0.7999999999999999,0.9931,0.9615,0.7251,0.8412,0.747,0.9672
36,0.9930476407567814,0.9849649559122767,0.9889897843359818,0.9496,0.48249027237354086,0.6775956284153005,0.5636363636363636,0.9494,1.0,0.75,0.8571428571428571,0.9512,0.9785,0.8252,0.8042,0.8033,0.9501
37,0.9948753785231773,0.9656341849423469,0.9800367140890318,0.9425,0.31756756756756754,0.7704918032786885,0.44976076555023925,0.9417,0.8571428571428571,0.75,0.7999999999999999,0.9894,0.9615,0.7232,0.8287,0.7433,0.9579
38,0.9915206331260599,0.9914085462355867,0.9914645865129161,0.9473,0.5945945945945946,0.6010928961748634,0.5978260869565218,0.9446,0.8571428571428571,0.75,0.7999999999999999,0.9955,0.9833,0.8144,0.7808,0.7964,0.9625
39,0.9919482875935586,0.988808501017409,0.9903759057971014,0.9514,0.5377358490566038,0.6229508196721312,0.5772151898734178,0.951,0.8571428571428571,0.75,0.7999999999999999,0.9991,0.9812,0.7956,0.7873,0.7892,0.9672
40,0.9934700423874442,0.9803300926972643,0.9868563300142248,0.9488,0.42524916943521596,0.6994535519125683,0.5289256198347108,0.9463,0.8571428571428571,0.75,0.7999999999999999,0.9974,0.9744,0.7586,0.8099,0.7719,0.9642
41,0.9933729433272395,0.9828170924711734,0.9880668257756563,0.9596,0.45323741007194246,0.6885245901639344,0.5466377440347072,0.9553,0.8571428571428571,0.75,0.7999999999999999,0.998,0.9767,0.7679,0.8071,0.7782,0.971
42,0.9936919371487556,0.9794257291431155,0.9865072587532023,0.9496,0.4115755627009646,0.6994535519125683,0.5182186234817814,0.9486,0.8571428571428571,0.75,0.7999999999999999,0.9998,0.9736,0.7541,0.8096,0.7682,0.966
43,0.9933827723901882,0.9842866832466651,0.988813809550849,0.955,0.4846153846153846,0.6885245901639344,0.5688487584650114,0.9548,0.5,0.75,0.6,0.9995,0.9781,0.6593,0.8076,0.7192,0.9698
44,0.992195453003054,0.9916346371241239,0.9919149657940861,0.9525,0.6137566137566137,0.6338797814207651,0.6236559139784946,0.9504,0.8571428571428571,0.75,0.7999999999999999,0.9998,0.9842,0.821,0.7918,0.8052,0.9676
45,0.9912826899128269,0.9898259100158263,0.9905537643531873,0.9505,0.5482233502538071,0.5901639344262295,0.5684210526315788,0.9519,0.8571428571428571,0.75,0.7999999999999999,0.9991,0.9815,0.7989,0.7767,0.7863,0.9672
46,0.994913882788117,0.9729821388198056,0.9838257987083499,0.96,0.36939313984168864,0.7650273224043715,0.4982206405693951,0.9597,0.8571428571428571,0.75,0.7999999999999999,0.9931,0.9686,0.7405,0.8293,0.7607,0.9709
47,0.9910925696245348,0.9936694551209586,0.9923793395427603,0.9543,0.6583850931677019,0.5792349726775956,0.6162790697674418,0.9546,0.8571428571428571,0.75,0.7999999999999999,0.9998,0.9851,0.8355,0.7743,0.8029,0.9695
48,0.9914114589219121,0.9917476825683925,0.9915795422435717,0.9525,0.6022099447513812,0.5956284153005464,0.5989010989010989,0.9483,0.8571428571428571,0.75,0.7999999999999999,0.9969,0.9835,0.8169,0.7791,0.7968,0.9659
49,0.9918690005646528,0.9928781370110784,0.9923733122422461,0.9477,0.6457142857142857,0.6174863387978142,0.6312849162011174,0.9478,0.8571428571428571,0.75,0.7999999999999999,0.9957,0.9851,0.8316,0.7868,0.8079,0.9637
FINALTEST,0.990300022558087,0.9925390006782727,0.9914182475158084,0.9241,0.6060606060606061,0.546448087431694,0.574712643678161,0.9369,0.6666666666666666,0.5,0.5714285714285715,0.8542,0.9831,0.7543,0.6797,0.7125,0.9051
