Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9975189035916824,0.9544426859597558,0.9755054881571346,0.9788,0.28975265017667845,0.8961748633879781,0.43791722296395197,0.9796,0.8571428571428571,0.75,0.7999999999999999,0.9989,0.9531,0.7148,0.8669,0.7378,0.9858
1,0.9983848925332339,0.9084331901424373,0.951287363125185,0.9777,0.18259935553168635,0.9289617486338798,0.30520646319569117,0.9782,0.12280701754385964,0.875,0.2153846153846154,0.9957,0.9088,0.4346,0.9041,0.4906,0.9839
2,0.9978522849301993,0.9453990504182681,0.9709177453996634,0.9799,0.25656877897990726,0.907103825136612,0.4,0.9795,0.7777777777777778,0.875,0.823529411764706,0.9993,0.9446,0.6774,0.9092,0.7315,0.9862
3,0.9966895247103335,0.9529730951842641,0.9743411927877949,0.9519,0.2744755244755245,0.8579234972677595,0.41589403973509936,0.9556,0.8571428571428571,0.75,0.7999999999999999,0.882,0.9509,0.7094,0.8536,0.7301,0.9298
4,0.9951923076923077,0.9828170924711734,0.9889659879422137,0.9669,0.48639455782312924,0.7814207650273224,0.59958071278826,0.9684,0.8571428571428571,0.75,0.7999999999999999,0.9408,0.9785,0.7796,0.8381,0.7962,0.9587
5,0.9949460142430507,0.9791996382545783,0.9870100273473108,0.971,0.43653250773993807,0.7704918032786885,0.5573122529644269,0.9754,0.75,0.75,0.75,0.8766,0.9748,0.7272,0.8332,0.7648,0.941
6,0.9952895220588235,0.9793126836988469,0.9872364672364672,0.9723,0.4430769230769231,0.7868852459016393,0.5669291338582677,0.9769,0.75,0.75,0.75,0.9939,0.9752,0.7295,0.8387,0.7681,0.981
7,0.9972070431086825,0.9283291883337101,0.9615362098237809,0.9701,0.20251572327044026,0.8797814207650273,0.32924335378323105,0.9705,0.8571428571428571,0.75,0.7999999999999999,0.9609,0.9272,0.6856,0.8527,0.6969,0.9672
8,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
9,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
10,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
11,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
12,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
13,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
22,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
23,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
24,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
FINALTEST,0.9933774834437086,0.983495365136785,0.9884117246080436,0.9698,0.4684014869888476,0.6885245901639344,0.5575221238938053,0.9714,0.7,0.875,0.7777777777777777,0.9848,0.9774,0.7206,0.849,0.7746,0.9753
