Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9988879278388731,0.9138593714673299,0.9544837357577189,0.982,0.18609625668449198,0.9508196721311475,0.3112701252236136,0.9817,0.7777777777777778,0.875,0.823529411764706,0.9929,0.9146,0.6543,0.9132,0.6964,0.9855
1,0.9977657572906867,0.9591905946190369,0.9780979827089339,0.9824,0.31238095238095237,0.8961748633879781,0.4632768361581921,0.9821,0.875,0.875,0.875,0.9482,0.9578,0.7284,0.9101,0.7721,0.9709
2,0.996508786221343,0.9680081392719874,0.9820517231492631,0.9781,0.3532110091743119,0.8415300546448088,0.4975767366720517,0.9774,0.875,0.875,0.875,0.9904,0.9654,0.7416,0.8948,0.7849,0.982
3,0.9974314068884997,0.9657472303866155,0.981333639653093,0.9782,0.35053763440860214,0.8907103825136612,0.5030864197530864,0.9783,0.8571428571428571,0.75,0.7999999999999999,0.8856,0.964,0.735,0.8688,0.7615,0.9474
4,0.9969746334652083,0.9685733664933304,0.9825688073394496,0.9723,0.3632183908045977,0.8633879781420765,0.511326860841424,0.9716,0.875,0.875,0.875,0.9733,0.9664,0.7451,0.9023,0.7896,0.9724
5,0.9967659967659968,0.9755821840379832,0.9860603290676417,0.9709,0.4220430107526882,0.8579234972677595,0.5657657657657658,0.9706,0.8571428571428571,0.75,0.7999999999999999,0.9589,0.973,0.7587,0.8612,0.7839,0.9668
6,0.9968487394957983,0.9655211394980783,0.980934879981624,0.9735,0.341991341991342,0.8633879781420765,0.4899224806201551,0.9733,0.8571428571428571,0.75,0.7999999999999999,0.8685,0.9633,0.732,0.8596,0.757,0.9384
7,0.9962924342486387,0.9720777752656568,0.9840361618126681,0.9745,0.38345864661654133,0.8360655737704918,0.5257731958762887,0.9748,0.8571428571428571,0.75,0.7999999999999999,0.9559,0.9691,0.7456,0.8527,0.7699,0.9684
8,0.9961000229410415,0.9816866380284874,0.9888408107492598,0.9793,0.483974358974359,0.825136612021858,0.6101010101010101,0.9797,0.8571428571428571,0.75,0.7999999999999999,0.9757,0.9783,0.7791,0.8523,0.7996,0.9782
9,0.995756880733945,0.9815735925842188,0.9886143686667426,0.9771,0.4774193548387097,0.8087431693989071,0.6004056795131845,0.982,0.8571428571428571,0.75,0.7999999999999999,0.9789,0.9779,0.7768,0.8468,0.7963,0.9793
10,0.9958544449562413,0.977617002034818,0.9866514546491729,0.9797,0.430635838150289,0.8142076502732241,0.5633270321361058,0.9827,0.8571428571428571,0.75,0.7999999999999999,0.981,0.9741,0.7612,0.8473,0.7833,0.9811
11,0.9954332686379723,0.9856432285778883,0.9905140585061061,0.9793,0.5350553505535055,0.7923497267759563,0.6387665198237885,0.9801,0.8571428571428571,0.75,0.7999999999999999,0.9856,0.9815,0.7959,0.8427,0.8098,0.9817
12,0.9953110704483074,0.9838345014695907,0.9895395110858441,0.9784,0.5034965034965035,0.7868852459016393,0.6140724946695096,0.9791,0.8571428571428571,0.75,0.7999999999999999,0.9887,0.9796,0.7853,0.8402,0.8012,0.9821
13,0.9940982862331177,0.9901650463486321,0.9921277680240131,0.9781,0.6055045871559633,0.7213114754098361,0.658354114713217,0.9775,0.875,0.875,0.875,0.9944,0.9846,0.8249,0.8622,0.8418,0.9834
14,0.9933288104929896,0.9931042278996156,0.9932165065008479,0.9804,0.6756756756756757,0.6830601092896175,0.6793478260869565,0.9798,0.875,0.875,0.875,0.9952,0.9867,0.848,0.8504,0.8492,0.9851
15,0.9949674024934233,0.9833823196925164,0.9891409403604526,0.9755,0.4912891986062718,0.7704918032786885,0.6000000000000001,0.9764,0.8571428571428571,0.75,0.7999999999999999,0.9558,0.9789,0.7811,0.8346,0.7964,0.9692
