Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.989803457957736,0.7571783857110559,0.8580029462627298,0.789,0.0532825880114177,0.6120218579234973,0.09803063457330415,0.786,0.041666666666666664,0.875,0.07954545454545454,0.9898,0.7543,0.3616,0.7481,0.3452,0.8549
1,0.9934640522875817,0.6873163011530635,0.8125083522651344,0.8162,0.05106076950737145,0.7759562841530054,0.09581646423751686,0.8219,0.051470588235294115,0.875,0.09722222222222222,0.9402,0.6893,0.3653,0.7794,0.3352,0.8595
2,0.9927667269439421,0.8068053357449695,0.890177736202058,0.8482,0.07583774250440917,0.7049180327868853,0.13694267515923567,0.8432,0.047619047619047616,0.875,0.09032258064516129,0.9915,0.8048,0.3721,0.7956,0.3725,0.8943
3,0.9932468935710427,0.8313361971512548,0.9051076923076924,0.8732,0.08333333333333333,0.73224043715847,0.14963707426018982,0.8738,0.28,0.875,0.42424242424242425,0.9598,0.8294,0.4522,0.8129,0.493,0.9023
4,0.9920571882446386,0.8471625593488582,0.9139024390243902,0.8606,0.08516483516483517,0.6775956284153005,0.1513117754728493,0.8613,0.25925925925925924,0.875,0.39999999999999997,0.9179,0.8438,0.4455,0.7999,0.4884,0.8799
5,0.9913880445795339,0.8849197377345693,0.9351331979452874,0.8779,0.10416666666666667,0.6284153005464481,0.17871017871017875,0.8793,0.1891891891891892,0.875,0.3111111111111111,0.9601,0.8797,0.4282,0.7961,0.475,0.9058
6,0.9925992088809493,0.8793805109654081,0.9325660852364682,0.891,0.10796915167095116,0.6885245901639344,0.18666666666666665,0.8897,0.18181818181818182,0.75,0.2926829268292683,0.9771,0.8754,0.4275,0.7726,0.4706,0.9193
7,0.9961211397881545,0.7548044313814153,0.858833365489742,0.8901,0.06875543951261967,0.8633879781420765,0.12736799677549376,0.8905,0.19444444444444445,0.875,0.3181818181818182,0.9502,0.7571,0.4198,0.8311,0.4348,0.9103
8,0.9954192115491394,0.8106488808501018,0.893582554517134,0.8985,0.08406593406593407,0.8360655737704918,0.15277084373439842,0.9026,0.38461538461538464,0.625,0.4761904761904762,0.9902,0.811,0.488,0.7572,0.5075,0.9304
9,0.9954910525574187,0.7986660637576306,0.8862823809822492,0.89,0.08181818181818182,0.8360655737704918,0.14905017048222116,0.8932,0.08571428571428572,0.75,0.15384615384615383,0.9927,0.7994,0.3877,0.7949,0.3964,0.9253
10,0.9957598139789359,0.8229708342753786,0.9011573930803985,0.9039,0.0901591043017089,0.8360655737704918,0.16276595744680852,0.9057,0.2413793103448276,0.875,0.3783783783783784,0.8944,0.8233,0.4424,0.8447,0.4808,0.9013
11,0.9937773070303191,0.8485191046800814,0.9154216720531739,0.9016,0.09400544959128065,0.7540983606557377,0.16717141126589943,0.9018,0.375,0.75,0.5,0.9702,0.8465,0.4876,0.7842,0.5275,0.9245
12,0.9935246317927883,0.8845806014017635,0.9358928357851932,0.9076,0.12082957619477007,0.73224043715847,0.20743034055727555,0.912,0.11538461538461539,0.75,0.19999999999999998,0.9227,0.8814,0.4099,0.7889,0.4478,0.9141
13,0.9921052631578947,0.937598914763735,0.9640822968731838,0.9124,0.1794871794871795,0.6502732240437158,0.2813238770685579,0.9145,0.42857142857142855,0.75,0.5454545454545454,0.9084,0.9316,0.5334,0.7793,0.597,0.9118
14,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
15,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
16,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
17,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
18,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
19,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
20,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
21,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
22,0.9788646674781454,1.0,0.9893194654140804,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0.9789,0.3263,0.3333,0.3298,0.0
