Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9966203983101991,0.9334162333257969,0.9639834218667912,0.9666,0.21109607577807848,0.8524590163934426,0.3383947939262473,0.9664,0.46153846153846156,0.75,0.5714285714285714,0.9611,0.9316,0.5564,0.8453,0.6246,0.9647
1,0.9973659003831418,0.9416685507574045,0.9687172927084545,0.9769,0.23851851851851852,0.8797814207650273,0.3752913752913753,0.9762,0.7,0.875,0.7777777777777777,0.9998,0.9404,0.6453,0.8988,0.7073,0.9843
2,0.9948320413436692,0.9574949129550079,0.9758064516129031,0.9677,0.27325581395348836,0.7704918032786885,0.4034334763948497,0.9691,0.8571428571428571,0.75,0.7999999999999999,0.9511,0.9535,0.7084,0.826,0.7264,0.9626
3,0.9980109398309299,0.9075288265882885,0.9506216696269982,0.9754,0.1737331954498449,0.9180327868852459,0.2921739130434783,0.9765,0.2692307692307692,0.875,0.411764705882353,0.9955,0.9077,0.4803,0.9002,0.5515,0.9824
4,0.9963991172029272,0.9697038209360163,0.9828702377542251,0.9776,0.3657957244655582,0.8415300546448088,0.5099337748344371,0.9773,0.8571428571428571,0.75,0.7999999999999999,0.996,0.9669,0.7398,0.8537,0.7643,0.9836
5,0.9937386156648452,0.9867736830205742,0.9902439024390244,0.9748,0.5284552845528455,0.7103825136612022,0.6060606060606061,0.9746,0.8571428571428571,0.75,0.7999999999999999,0.9809,0.981,0.7931,0.8157,0.7988,0.9768
6,0.9954001839926403,0.9785213655889667,0.9868886101926804,0.9749,0.43283582089552236,0.7923497267759563,0.5598455598455598,0.9747,1.0,0.75,0.8571428571428571,0.9985,0.9745,0.8094,0.8403,0.8013,0.9827
7,0.9960886571056062,0.9500339136332806,0.972516345541862,0.9615,0.3400447427293065,0.8306010928961749,0.48253968253968255,0.971,0.0392156862745098,0.75,0.07453416149068323,0.8754,0.9474,0.4584,0.8435,0.5099,0.9359
8,0.9961112420457223,0.9555731404024418,0.9754211862450959,0.9729,0.2802197802197802,0.8360655737704918,0.41975308641975306,0.9739,1.0,0.625,0.7692307692307693,0.8848,0.9529,0.7588,0.8055,0.7215,0.9439
9,0.9972934808190163,0.9580601401763509,0.9772832103321033,0.9787,0.30451127819548873,0.8852459016393442,0.45314685314685316,0.9791,0.8571428571428571,0.75,0.7999999999999999,0.9597,0.9564,0.7196,0.8644,0.7435,0.9725
10,0.9962751716913049,0.967555957494913,0.981705568618455,0.9724,0.34851936218678814,0.8360655737704918,0.4919614147909968,0.9753,0.8571428571428571,0.75,0.7999999999999999,0.785,0.9647,0.734,0.8512,0.7579,0.9109
11,0.9943052391799544,0.9868867284648428,0.9905820946329286,0.9758,0.5421686746987951,0.7377049180327869,0.625,0.9764,0.75,0.75,0.75,0.8274,0.9816,0.7622,0.8249,0.7885,0.9265
12,0.9950637125473539,0.9798779109201899,0.9874124280913597,0.9756,0.44654088050314467,0.7759562841530054,0.5668662674650697,0.9752,0.75,0.75,0.75,0.8795,0.9755,0.7305,0.8353,0.7681,0.9434
13,0.9956491870849553,0.9830431833597106,0.9893060295790672,0.9799,0.4966216216216216,0.8032786885245902,0.6137787056367432,0.9803,0.8571428571428571,0.75,0.7999999999999999,0.9859,0.9792,0.7831,0.8454,0.801,0.982
