Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.997674959311788,0.9701560027130907,0.9837230628152224,0.9872,0.375886524822695,0.888268156424581,0.5282392026578073,0.9871,1.0,1.0,1.0,1.0,0.9685,0.7912,0.9528,0.8373,0.9914
1,0.9975189035916824,0.9544426859597558,0.9755054881571346,0.9826,0.2857142857142857,0.88268156424581,0.43169398907103823,0.9828,0.2,1.0,0.33333333333333337,1.0,0.953,0.4944,0.9457,0.5802,0.9885
2,0.9958458342949458,0.9755821840379832,0.9856098675194153,0.9769,0.5,0.7988826815642458,0.6150537634408602,0.9793,0.02666666666666667,1.0,0.05194805194805195,1.0,0.9721,0.5075,0.9248,0.5509,0.9854
3,0.9984206050297655,0.9290074609993217,0.9624641330444457,0.981,0.21119592875318066,0.9273743016759777,0.3440414507772021,0.9812,0.2,1.0,0.33333333333333337,1.0,0.929,0.4699,0.9521,0.5466,0.9874
4,0.996716312888472,0.9607732308387972,0.9784147815575893,0.9778,0.3081632653061224,0.8435754189944135,0.45142002989536617,0.9779,0.2,1.0,0.33333333333333337,1.0,0.9585,0.5016,0.9348,0.5877,0.9852
5,0.9971939670291126,0.9641645941668551,0.9804011724811771,0.9821,0.3304904051172708,0.8659217877094972,0.47839506172839513,0.9821,0.4,1.0,0.5714285714285715,0.9999,0.9622,0.5759,0.9434,0.6767,0.988
6,0.9935293449880803,0.989373728238752,0.9914471821013876,0.9758,0.5754716981132075,0.6815642458100558,0.6240409207161126,0.9758,0.3333333333333333,1.0,0.5,1.0,0.9833,0.6341,0.8903,0.7052,0.9839
7,0.9941999317639031,0.988243273796066,0.9912126537785589,0.9764,0.5541125541125541,0.7150837988826816,0.624390243902439,0.9761,0.6666666666666666,1.0,0.8,1.0,0.9828,0.7383,0.9011,0.8052,0.9842
8,0.9951884522854851,0.9820257743612932,0.9885633001422476,0.9703,0.46440677966101696,0.7653631284916201,0.5780590717299577,0.9669,0.6666666666666666,1.0,0.8,1.0,0.9777,0.7088,0.9158,0.7889,0.9791
9,0.9954337899543378,0.9857562740221569,0.9905713961149608,0.9688,0.5767634854771784,0.776536312849162,0.6619047619047619,0.9751,0.07692307692307693,1.0,0.14285714285714288,1.0,0.9816,0.5497,0.9208,0.5984,0.9813
