Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,inception_next_small.sail_in1k,0.982,0.8467,0.7869,0.7971,0.9843,0.0001
1,inception_next_small.sail_in1k,0.9878,0.8569,0.7532,0.7988,0.9757,9.997532801828658e-05
2,inception_next_small.sail_in1k,0.9708,0.7495,0.8444,0.7721,0.9702,9.990133642141359e-05
3,inception_next_small.sail_in1k,0.9843,0.8146,0.8383,0.8211,0.9732,9.977809823015401e-05
4,inception_next_small.sail_in1k,0.9822,0.8487,0.7489,0.7655,0.9469,9.960573506572391e-05
5,inception_next_small.sail_in1k,0.9853,0.831,0.7976,0.8131,0.9667,9.93844170297569e-05
6,inception_next_small.sail_in1k,0.9859,0.836,0.8049,0.8192,0.9327,9.911436253643445e-05
7,inception_next_small.sail_in1k,0.9879,0.9173,0.7842,0.8419,0.9692,9.879583809693738e-05
8,inception_next_small.sail_in1k,0.9877,0.8478,0.708,0.7645,0.9464,9.842915805643157e-05
9,inception_next_small.sail_in1k,0.9869,0.9044,0.7803,0.8344,0.8848,9.801468428384717e-05
10,inception_next_small.sail_in1k,0.9729,0.7579,0.8576,0.7825,0.9654,9.75528258147577e-05
11,inception_next_small.sail_in1k,0.9846,0.8179,0.833,0.8212,0.9681,9.70440384477113e-05
12,inception_next_small.sail_in1k,0.9819,0.7983,0.8321,0.808,0.9801,9.64888242944126e-05
13,inception_next_small.sail_in1k,0.982,0.7987,0.8392,0.8107,0.9824,9.588773128419907e-05
14,inception_next_small.sail_in1k,0.9868,0.8458,0.8052,0.8243,0.9779,9.5241352623301e-05
15,inception_next_small.sail_in1k,0.9879,0.8903,0.761,0.8143,0.9687,9.455032620941843e-05
16,inception_next_small.sail_in1k,0.9877,0.8895,0.7104,0.781,0.9442,9.381533400219321e-05
17,inception_next_small.sail_in1k,0.9872,0.8533,0.7423,0.7908,0.9711,9.303710135019722e-05
18,inception_next_small.sail_in1k,0.9866,0.8977,0.7076,0.7742,0.9712,9.22163962751008e-05
19,inception_next_small.sail_in1k,0.9882,0.8682,0.6903,0.7608,0.9542,9.135402871372814e-05
20,inception_next_small.sail_in1k,0.9879,0.8512,0.7081,0.766,0.9666,9.045084971874742e-05
21,inception_next_small.sail_in1k,0.9867,0.8947,0.7184,0.7786,0.9466,8.950775061878456e-05
22,inception_next_small.sail_in1k,0.9871,0.8732,0.7119,0.7774,0.9347,8.852566213878951e-05
23,inception_next_small.sail_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.750555348152303e-05
24,inception_next_small.sail_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.644843137107063e-05
25,inception_next_small.sail_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.535533905932742e-05
26,inception_next_small.sail_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.422735529643448e-05
27,inception_next_small.sail_in1k,0.9789,0.3263,0.3333,0.3298,0.0,8.306559326618263e-05
FINALTEST,inception_next_small.sail_in1k,0.9867,0.8233,0.719,0.7634,0.9793,8.306559326618263e-05
