Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.9968538802144022,0.9671037757178386,0.9817535001147579,0.9757,0.3542600896860987,0.8633879781420765,0.5023847376788554,0.9756,0.6666666666666666,0.75,0.7058823529411765,0.9926,0.9648,0.6726,0.8602,0.73,0.9813
1,0.9943265630318847,0.9906172281257065,0.9924684296959058,0.9773,0.6221198156682027,0.7377049180327869,0.6749999999999999,0.9782,0.8571428571428571,0.75,0.7999999999999999,0.9799,0.9853,0.8245,0.8261,0.8225,0.9785
2,0.9922279792746114,0.9958173185620619,0.9940194087113519,0.9684,0.7631578947368421,0.6338797814207651,0.6925373134328359,0.9683,0.8571428571428571,0.75,0.7999999999999999,0.9777,0.9883,0.8708,0.7932,0.8289,0.9714
3,0.9947608200455581,0.9873389102419172,0.9910359695903779,0.9745,0.556,0.7595628415300546,0.6420323325635104,0.9749,0.8571428571428571,0.75,0.7999999999999999,0.9081,0.9825,0.8026,0.8323,0.811,0.9525
4,0.9938412408759124,0.9850780013565453,0.9894402180084024,0.9733,0.5,0.7158469945355191,0.5887640449438202,0.9751,0.8571428571428571,0.75,0.7999999999999999,0.9507,0.9794,0.7837,0.817,0.7927,0.9664
5,0.9959700633275763,0.9778430929233551,0.9868233415093263,0.9772,0.43478260869565216,0.819672131147541,0.5681818181818182,0.9781,0.8571428571428571,0.75,0.7999999999999999,0.8895,0.9744,0.7626,0.8492,0.785,0.9483
6,0.9952174903211114,0.9880171829075288,0.9916042659405491,0.9633,0.5766129032258065,0.7814207650273224,0.6635730858468678,0.9645,0.8571428571428571,0.75,0.7999999999999999,0.9704,0.9836,0.8097,0.8398,0.8184,0.9661
7,0.9945553539019963,0.9911824553470495,0.9928660400860605,0.9677,0.6372093023255814,0.7486338797814208,0.6884422110552764,0.9716,1.0,0.75,0.8571428571428571,0.9556,0.9861,0.8773,0.8299,0.8462,0.965
8,0.9962259835315646,0.9847388650237395,0.99044911881751,0.9752,0.5331010452961672,0.8360655737704918,0.6510638297872339,0.9771,0.8333333333333334,0.625,0.7142857142857143,0.9893,0.9814,0.7876,0.8153,0.7853,0.9805
9,0.9946603044762554,0.9897128645715577,0.9921804170444243,0.9683,0.6052631578947368,0.7540983606557377,0.6715328467153285,0.9746,0.8571428571428571,0.75,0.7999999999999999,0.9575,0.9847,0.819,0.8313,0.8212,0.9668
10,0.9967741935483871,0.9780691838118923,0.9873331051009929,0.9684,0.4472934472934473,0.8579234972677595,0.5880149812734082,0.9702,1.0,0.75,0.8571428571428571,0.9549,0.9754,0.8147,0.862,0.8108,0.9645
