Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
0,0.996072996072996,0.9749039113723716,0.9853747714808044,0.9785,0.4092140921409214,0.825136612021858,0.5471014492753623,0.9791,0.6,0.75,0.6666666666666665,0.9969,0.9717,0.6684,0.85,0.733,0.9848
1,0.9967674901870238,0.9760343658150576,0.9862919808087731,0.9788,0.4266304347826087,0.8579234972677595,0.5698729582577132,0.9793,0.8571428571428571,0.75,0.7999999999999999,0.9974,0.9734,0.7602,0.8613,0.7854,0.9852
2,0.9984039287906691,0.9192855527922225,0.9572126419869342,0.9729,0.19457013574660634,0.9398907103825137,0.32239925023430177,0.9746,0.75,0.75,0.75,0.9442,0.9196,0.6477,0.8697,0.6765,0.9639
3,0.9961985946319548,0.977617002034818,0.9868203343413019,0.9745,0.4355300859598854,0.8306010928961749,0.5714285714285714,0.9778,0.8571428571428571,0.75,0.7999999999999999,0.9022,0.9744,0.763,0.8527,0.7861,0.9515
4,0.996547358729428,0.9788605019217725,0.987624750499002,0.979,0.45454545454545453,0.8469945355191257,0.5916030534351144,0.9804,0.8571428571428571,0.75,0.7999999999999999,0.972,0.976,0.7694,0.8586,0.7931,0.9771
5,0.993545464839769,0.9918607280126611,0.9927023816258415,0.9726,0.6432160804020101,0.6994535519125683,0.6701570680628273,0.9739,0.8571428571428571,0.75,0.7999999999999999,0.9816,0.9857,0.8313,0.8138,0.821,0.976
6,0.9938844847112118,0.9920868189011983,0.9929848381986877,0.9792,0.655,0.7158469945355191,0.6840731070496084,0.9798,0.8571428571428571,0.75,0.7999999999999999,0.979,0.9863,0.8353,0.8193,0.8257,0.9794
7,0.996652043407989,0.975921320370789,0.9861777473155129,0.9769,0.42391304347826086,0.8524590163934426,0.5662431941923775,0.9783,0.8571428571428571,0.75,0.7999999999999999,0.9888,0.9732,0.7592,0.8595,0.7841,0.9813
8,0.9965397923875432,0.9767126384806692,0.9865266042475451,0.9824,0.4305555555555556,0.8469945355191257,0.570902394106814,0.983,0.8571428571428571,0.75,0.7999999999999999,0.9826,0.9739,0.7614,0.8579,0.7858,0.9826
9,0.991780204931877,0.9957042731177933,0.9937383652056185,0.9784,0.7516778523489933,0.6120218579234973,0.674698795180723,0.9784,0.8571428571428571,0.75,0.7999999999999999,0.9888,0.9877,0.8669,0.7859,0.8228,0.9819
10,0.9906689151208544,0.9961564548948677,0.9934051068147229,0.9787,0.7555555555555555,0.5573770491803278,0.6415094339622641,0.9777,0.8571428571428571,0.75,0.7999999999999999,0.9901,0.9871,0.8678,0.7678,0.8116,0.9822
11,0.9940902375269917,0.988808501017409,0.9914423349390762,0.9819,0.5757575757575758,0.726775956284153,0.6425120772946861,0.9823,0.8571428571428571,0.75,0.7999999999999999,0.9876,0.9833,0.809,0.8219,0.8113,0.9839
12,0.9938726880744355,0.9901650463486321,0.9920154029106971,0.9797,0.6036866359447005,0.7158469945355191,0.655,0.9799,0.8571428571428571,0.75,0.7999999999999999,0.9948,0.9844,0.8182,0.8187,0.8157,0.9848
13,0.9926611719543864,0.9938955460094958,0.9932779754843811,0.9811,0.6936416184971098,0.6557377049180327,0.6741573033707865,0.981,0.8571428571428571,0.75,0.7999999999999999,0.9947,0.9868,0.8478,0.7999,0.8225,0.9856
14,0.9913327330031517,0.9955912276735247,0.9934574168076706,0.9787,0.7414965986394558,0.5956284153005464,0.6606060606060605,0.9799,0.8333333333333334,0.625,0.7142857142857143,0.9648,0.9872,0.8554,0.7387,0.7894,0.9745
15,0.993101108346528,0.9926520461225412,0.992876526458616,0.9755,0.6595744680851063,0.6775956284153005,0.6684636118598383,0.9756,0.8571428571428571,0.75,0.7999999999999999,0.9937,0.9861,0.8366,0.8067,0.8204,0.9816
16,0.9910031488978858,0.9961564548948677,0.9935731198556771,0.9757,0.7608695652173914,0.5737704918032787,0.6542056074766355,0.9757,0.8571428571428571,0.75,0.7999999999999999,0.9939,0.9874,0.8697,0.7733,0.8159,0.9818
