Epoch,Model,Accuracy,Precision,Recall,F1,AUC,LR
0,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9717,0.6684,0.85,0.733,0.9848,0.0001
1,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9734,0.7602,0.8613,0.7854,0.9852,9.997532801828658e-05
2,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9196,0.6477,0.8697,0.6765,0.9639,9.990133642141359e-05
3,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9744,0.763,0.8527,0.7861,0.9515,9.977809823015401e-05
4,tiny_vit_21m_224.dist_in22k_ft_in1k,0.976,0.7694,0.8586,0.7931,0.9771,9.960573506572391e-05
5,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9857,0.8313,0.8138,0.821,0.976,9.93844170297569e-05
6,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9863,0.8353,0.8193,0.8257,0.9794,9.911436253643445e-05
7,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9732,0.7592,0.8595,0.7841,0.9813,9.879583809693738e-05
8,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9739,0.7614,0.8579,0.7858,0.9826,9.842915805643157e-05
9,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9877,0.8669,0.7859,0.8228,0.9819,9.801468428384717e-05
10,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9871,0.8678,0.7678,0.8116,0.9822,9.75528258147577e-05
11,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9833,0.809,0.8219,0.8113,0.9839,9.70440384477113e-05
12,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9844,0.8182,0.8187,0.8157,0.9848,9.64888242944126e-05
13,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9868,0.8478,0.7999,0.8225,0.9856,9.588773128419907e-05
14,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9872,0.8554,0.7387,0.7894,0.9745,9.5241352623301e-05
15,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9861,0.8366,0.8067,0.8204,0.9816,9.455032620941843e-05
16,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9874,0.8697,0.7733,0.8159,0.9818,9.381533400219321e-05
17,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9873,0.8818,0.7554,0.8076,0.982,9.303710135019722e-05
18,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9868,0.8421,0.8159,0.8277,0.9831,9.22163962751008e-05
19,tiny_vit_21m_224.dist_in22k_ft_in1k,0.9858,0.8348,0.8049,0.8186,0.9837,9.135402871372814e-05
