Model,Epoch,Precision_class_0,Recall_class_0,F1_class_0,AUC_class_0,Precision_class_1,Recall_class_1,F1_class_1,AUC_class_1,Precision_class_2,Recall_class_2,F1_class_2,AUC_class_2,Overall_Accuracy,Overall_Precision,Overall_Recall,Overall_F1,Overall_AUC
efficientnetv2_rw_t.ra2_in1k,18,0.995246717971933,0.994121636898033,0.9946838592919353,0.9444,0.7248677248677249,0.7653631284916201,0.7445652173913045,0.9826,1.0,1.0,1.0,1.0,0.9896,0.9067,0.9198,0.9131,0.9756
efficientnetv2_rw_t.ra2_in1k,FINALTEST,0.9929840443589454,0.9921981004070556,0.9925909168033482,0.9378,0.6458333333333334,0.6666666666666666,0.6560846560846562,0.9755,0.6666666666666666,1.0,0.8,1.0,0.9855,0.7685,0.8863,0.8162,0.9711
resnet50.a1_in1k,21,0.9941276115189158,0.9951390458964504,0.994633071577877,0.9526,0.7470588235294118,0.7094972067039106,0.7277936962750716,0.9559,1.0,1.0,1.0,1.0,0.9895,0.9137,0.9015,0.9075,0.9695
resnet50.a1_in1k,FINALTEST,0.9934329710144928,0.9920850293984622,0.9927585426567097,0.9602,0.649746192893401,0.6881720430107527,0.6684073107049608,0.9585,0.6666666666666666,1.0,0.8,1.0,0.9858,0.7699,0.8934,0.8204,0.9729
volo_d1_224.sail_in1k,12,0.9912428427079825,0.9980782274474339,0.9946487917535064,0.9747,0.8559322033898306,0.5642458100558659,0.6801346801346801,0.9734,1.0,1.0,1.0,1.0,0.9895,0.9491,0.8541,0.8916,0.9827
volo_d1_224.sail_in1k,FINALTEST,0.990228013029316,0.9968340117593849,0.993520031554629,0.9676,0.792,0.532258064516129,0.6366559485530546,0.9633,0.5,1.0,0.6666666666666666,1.0,0.9873,0.7607,0.843,0.7656,0.977
tiny_vit_21m_224.dist_in22k_ft_in1k,55,0.9939113767053783,0.9964955912276735,0.9952018063787751,0.9718,0.8012820512820513,0.6983240223463687,0.746268656716418,0.9714,1.0,1.0,1.0,1.0,0.9906,0.9317,0.8983,0.9138,0.9811
tiny_vit_21m_224.dist_in22k_ft_in1k,FINALTEST,0.9915521513854472,0.9953640886476708,0.9934544633788511,0.9635,0.7302631578947368,0.5967741935483871,0.6568047337278107,0.963,1.0,1.0,1.0,1.0,0.9872,0.9073,0.864,0.8834,0.9755


