model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
eva_large_patch14_196.in22k_ft_in22k_in1k,196,88.596,11.404,98.662,1.338,304.14,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,11.594,98.602,1.398,304.43,0.95,bicubic
vit_large_patch14_clip_224.openai_ft_in12k_in1k,224,88.162,11.838,98.54,1.46,304.2,1.0,bicubic
eva_large_patch14_196.in22k_ft_in1k,196,87.956,12.044,98.48,1.52,304.14,1.0,bicubic
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,224,87.898,12.102,98.408,1.592,304.2,1.0,bicubic
vit_large_patch14_clip_224.openai_ft_in1k,224,87.86,12.14,98.43,1.57,304.2,1.0,bicubic
beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,12.512,98.316,1.684,304.43,0.9,bicubic
caformer_b36.sail_in22k_ft_in1k,224,87.44,12.56,98.332,1.668,98.75,1.0,bicubic
beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,12.586,98.216,1.784,304.43,0.95,bicubic
vit_large_patch14_clip_224.laion2b_ft_in1k,224,87.298,12.702,98.238,1.762,304.2,1.0,bicubic
convnextv2_large.fcmae_ft_in22k_in1k,224,87.264,12.736,98.244,1.756,197.96,0.875,bicubic
deit3_large_patch16_224.fb_in22k_ft_in1k,224,86.986,13.014,98.24,1.76,304.37,1.0,bicubic
convformer_b36.sail_in22k_ft_in1k,224,86.984,13.016,98.158,1.842,99.88,1.0,bicubic
convnext_xlarge.fb_in22k_ft_in1k,224,86.97,13.03,98.204,1.796,350.2,0.875,bicubic
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.908,13.092,98.004,1.996,116.14,0.95,bicubic
convnextv2_base.fcmae_ft_in22k_in1k,224,86.752,13.248,98.02,1.98,88.72,0.875,bicubic
maxxvitv2_rmlp_base_rw_224.sw_in12k_ft_in1k,224,86.638,13.362,98.014,1.986,116.09,0.95,bicubic
convnext_large.fb_in22k_ft_in1k,224,86.612,13.388,98.036,1.964,197.77,0.875,bicubic
caformer_m36.sail_in22k_ft_in1k,224,86.608,13.392,98.038,1.962,56.2,1.0,bicubic
coatnet_2_rw_224.sw_in12k_ft_in1k,224,86.58,13.42,97.896,2.104,73.87,0.95,bicubic
coatnet_rmlp_2_rw_224.sw_in12k_ft_in1k,224,86.54,13.46,97.896,2.104,73.88,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,13.506,98.056,1.944,86.53,0.9,bicubic
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,86.33,13.67,97.882,2.118,196.53,0.9,bicubic
vit_base_patch8_224.augreg2_in21k_ft_in1k,224,86.228,13.772,97.84,2.16,86.58,0.9,bicubic
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,86.21,13.79,97.756,2.244,86.57,0.95,bicubic
hgnetv2_b6.ssld_stage2_ft_in1k,224,86.206,13.794,97.81,2.19,75.26,0.965,bicubic
convformer_m36.sail_in22k_ft_in1k,224,86.152,13.848,97.852,2.148,57.05,1.0,bicubic
volo_d5_224.sail_in1k,224,86.078,13.922,97.578,2.422,295.46,0.96,bicubic
hgnetv2_b6.ssld_stage1_in22k_in1k,224,86.052,13.948,97.806,2.194,75.26,0.965,bicubic
hiera_large_224.mae_in1k_ft_in1k,224,86.044,13.956,97.648,2.352,213.74,0.9,bicubic
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,85.962,14.038,97.718,2.282,86.57,0.95,bicubic
seresnextaa101d_32x8d.sw_in12k_ft_in1k,224,85.956,14.044,97.824,2.176,93.59,0.875,bicubic
volo_d4_224.sail_in1k,224,85.872,14.128,97.456,2.544,192.96,0.96,bicubic
vit_large_patch16_224.augreg_in21k_ft_in1k,224,85.85,14.15,97.826,2.174,304.33,0.9,bicubic
vit_base_patch8_224.augreg_in21k_ft_in1k,224,85.836,14.164,97.774,2.226,86.58,0.9,bicubic
convnext_base.fb_in22k_ft_in1k,224,85.816,14.184,97.854,2.146,88.59,0.875,bicubic
efficientvit_l3.r224_in1k,224,85.812,14.188,97.21,2.79,246.04,1.0,bicubic
caformer_s36.sail_in22k_ft_in1k,224,85.788,14.212,97.828,2.172,39.3,1.0,bicubic
convnextv2_large.fcmae_ft_in1k,224,85.762,14.238,97.586,2.414,197.96,0.875,bicubic
deit3_base_patch16_224.fb_in22k_ft_in1k,224,85.728,14.272,97.746,2.254,86.59,1.0,bicubic
regnety_160.lion_in12k_ft_in1k,224,85.602,14.398,97.668,2.332,83.59,0.95,bicubic
beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,14.404,97.514,2.486,86.53,0.9,bicubic
regnety_160.sw_in12k_ft_in1k,224,85.594,14.406,97.668,2.332,83.59,0.95,bicubic
nextvit_large.bd_ssld_6m_in1k,224,85.524,14.476,97.676,2.324,57.87,0.95,bicubic
caformer_b36.sail_in1k,224,85.502,14.498,97.316,2.684,98.75,1.0,bicubic
vit_base_patch16_clip_224.laion2b_ft_in1k,224,85.494,14.506,97.572,2.428,86.57,1.0,bicubic
volo_d3_224.sail_in1k,224,85.442,14.558,97.276,2.724,86.33,0.96,bicubic
convformer_s36.sail_in22k_ft_in1k,224,85.424,14.576,97.582,2.418,40.01,1.0,bicubic
xcit_large_24_p8_224.fb_dist_in1k,224,85.402,14.598,97.418,2.582,188.93,1.0,bicubic
vit_base_patch16_clip_224.openai_ft_in1k,224,85.286,14.714,97.44,2.56,86.57,0.9,bicubic
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,85.27,14.73,97.568,2.432,87.77,0.9,bicubic
mvitv2_large.fb_in1k,224,85.264,14.736,97.188,2.812,217.99,0.9,bicubic
beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,14.756,97.652,2.348,86.53,0.9,bicubic
caformer_m36.sail_in1k,224,85.24,14.76,97.206,2.794,56.2,1.0,bicubic
volo_d2_224.sail_in1k,224,85.202,14.798,97.186,2.814,58.68,0.96,bicubic
nextvit_base.bd_ssld_6m_in1k,224,85.182,14.818,97.594,2.406,44.82,0.95,bicubic
convnext_small.in12k_ft_in1k,224,85.164,14.836,97.502,2.498,50.22,0.95,bicubic
hiera_base_plus_224.mae_in1k_ft_in1k,224,85.134,14.866,97.158,2.842,69.9,0.9,bicubic
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,85.11,14.89,97.538,2.462,86.57,0.9,bicubic
tiny_vit_21m_224.dist_in22k_ft_in1k,224,85.088,14.912,97.356,2.644,21.2,0.95,bicubic
xcit_medium_24_p8_224.fb_dist_in1k,224,85.076,14.924,97.274,2.726,84.32,1.0,bicubic
efficientvit_l2.r224_in1k,224,85.044,14.956,97.098,2.902,63.71,1.0,bicubic
regnety_120.sw_in12k_ft_in1k,224,84.986,15.014,97.422,2.578,51.82,0.95,bicubic
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,224,84.94,15.06,96.968,3.032,41.72,0.95,bicubic
xcit_large_24_p16_224.fb_dist_in1k,224,84.936,15.064,97.128,2.872,189.1,1.0,bicubic
maxvit_large_tf_224.in1k,224,84.934,15.066,96.98,3.02,211.79,0.95,bicubic
hgnet_base.ssld_in1k,224,84.912,15.088,97.34,2.66,71.58,0.965,bicubic
convnextv2_base.fcmae_ft_in1k,224,84.888,15.112,97.08,2.92,88.72,0.875,bicubic
xcit_small_24_p8_224.fb_dist_in1k,224,84.876,15.124,97.2,2.8,47.63,1.0,bicubic
maxvit_base_tf_224.in1k,224,84.87,15.13,97.004,2.996,119.47,0.95,bicubic
nextvit_small.bd_ssld_6m_in1k,224,84.856,15.144,97.38,2.62,31.76,0.95,bicubic
convformer_b36.sail_in1k,224,84.83,15.17,96.95,3.05,99.88,1.0,bicubic
hgnetv2_b5.ssld_stage2_ft_in1k,224,84.81,15.19,97.3,2.7,39.57,0.965,bicubic
rdnet_large.nv_in1k,224,84.794,15.206,97.154,2.846,186.27,0.9,bicubic
deit3_large_patch16_224.fb_in1k,224,84.778,15.222,97.046,2.954,304.37,0.9,bicubic
davit_base.msft_in1k,224,84.65,15.35,97.018,2.982,87.95,0.95,bicubic
regnety_320.swag_lc_in1k,224,84.632,15.368,97.484,2.516,145.05,0.965,bicubic
coatnet_rmlp_2_rw_224.sw_in1k,224,84.602,15.398,96.746,3.254,73.88,0.95,bicubic
convnext_small.fb_in22k_ft_in1k,224,84.582,15.418,97.414,2.586,50.22,0.875,bicubic
deit3_medium_patch16_224.fb_in22k_ft_in1k,224,84.566,15.434,97.178,2.822,38.85,1.0,bicubic
caformer_s36.sail_in1k,224,84.544,15.456,97.01,2.99,39.3,1.0,bicubic
vit_base_patch16_224.augreg_in21k_ft_in1k,224,84.532,15.468,97.298,2.702,86.57,0.9,bicubic
hiera_base_224.mae_in1k_ft_in1k,224,84.526,15.474,97.04,2.96,51.52,0.9,bicubic
convformer_m36.sail_in1k,224,84.486,15.514,96.866,3.134,57.05,1.0,bicubic
maxvit_rmlp_small_rw_224.sw_in1k,224,84.484,15.516,96.774,3.226,64.9,0.9,bicubic
hgnetv2_b5.ssld_stage1_in22k_in1k,224,84.456,15.544,97.218,2.782,39.57,0.965,bicubic
maxvit_small_tf_224.in1k,224,84.456,15.544,96.828,3.172,68.93,0.95,bicubic
gcvit_base.in1k,224,84.454,15.546,96.85,3.15,90.32,0.875,bicubic
efficientvit_l1.r224_in1k,224,84.448,15.552,96.856,3.144,52.65,1.0,bicubic
mvitv2_base.fb_in1k,224,84.438,15.562,96.862,3.138,51.47,0.9,bicubic
vit_large_r50_s32_224.augreg_in21k_ft_in1k,224,84.432,15.568,97.152,2.848,328.99,0.9,bicubic
resmlp_big_24_224.fb_in22k_ft_in1k,224,84.388,15.612,97.108,2.892,129.14,0.875,bicubic
xcit_large_24_p8_224.fb_in1k,224,84.386,15.614,96.666,3.334,188.93,1.0,bicubic
rdnet_base.nv_in1k,224,84.368,15.632,96.872,3.128,87.45,0.9,bicubic
convnext_large.fb_in1k,224,84.298,15.702,96.892,3.108,197.77,0.875,bicubic
xcit_medium_24_p16_224.fb_dist_in1k,224,84.288,15.712,96.936,3.064,84.4,1.0,bicubic
